NomPais;NomSerie;NumTemporada;DataPartida;HorarioPartida;NomTimeMandante;NomTimeVisitante;NumPlacarMandante;NumPlacarVisitante;DscResultado
Brazil;Serie A;2012;2012-05-19;22:30;Palmeiras;Portuguesa;1;1;D
Brazil;Serie A;2012;2012-05-19;22:30;Sport Recife;Flamengo RJ;1;1;D
Brazil;Serie A;2012;2012-05-20;01:00;Figueirense;Nautico;2;1;H
Brazil;Serie A;2012;2012-05-20;20:00;Botafogo RJ;Sao Paulo;4;2;H
Brazil;Serie A;2012;2012-05-20;20:00;Corinthians;Fluminense;0;1;A
Brazil;Serie A;2012;2012-05-20;20:00;Internacional;Coritiba;2;0;H
Brazil;Serie A;2012;2012-05-20;20:00;Ponte Preta;Atletico-MG;0;1;A
Brazil;Serie A;2012;2012-05-20;22:30;Bahia;Santos;0;0;D
Brazil;Serie A;2012;2012-05-20;22:30;Cruzeiro;Atletico GO;0;0;D
Brazil;Serie A;2012;2012-05-20;22:30;Vasco;Gremio;2;1;H
Brazil;Serie A;2012;2012-05-26;22:30;Atletico GO;Ponte Preta;1;1;D
Brazil;Serie A;2012;2012-05-26;22:30;Flamengo RJ;Internacional;3;3;D
Brazil;Serie A;2012;2012-05-26;22:30;Portuguesa;Vasco;0;1;A
Brazil;Serie A;2012;2012-05-27;01:00;Nautico;Cruzeiro;0;0;D
Brazil;Serie A;2012;2012-05-27;20:00;Atletico-MG;Corinthians;1;0;H
Brazil;Serie A;2012;2012-05-27;20:00;Coritiba;Botafogo RJ;2;3;A
Brazil;Serie A;2012;2012-05-27;20:00;Santos;Sport Recife;0;0;D
Brazil;Serie A;2012;2012-05-27;20:00;Sao Paulo;Bahia;1;0;H
Brazil;Serie A;2012;2012-05-27;22:30;Fluminense;Figueirense;2;2;D
Brazil;Serie A;2012;2012-05-27;22:30;Gremio;Palmeiras;1;0;H
Brazil;Serie A;2012;2012-06-06;23:30;Atletico GO;Gremio;0;1;A
Brazil;Serie A;2012;2012-06-06;23:30;Sport Recife;Palmeiras;2;1;H
Brazil;Serie A;2012;2012-07-06;00:30;Atletico-MG;Bahia;1;1;D
Brazil;Serie A;2012;2012-07-06;00:30;Coritiba;Portuguesa;2;0;H
Brazil;Serie A;2012;2012-07-06;00:30;Vasco;Nautico;4;2;H
Brazil;Serie A;2012;2012-07-06;01:50;Internacional;Sao Paulo;1;0;H
Brazil;Serie A;2012;2012-07-06;01:50;Ponte Preta;Flamengo RJ;2;2;D
Brazil;Serie A;2012;2012-07-06;01:50;Santos;Fluminense;1;1;D
