Regiao;UF;NomMunicipio;NomBairro;NomRevenda;NomEnderecoCompleto;DscProduto;202201;202202;202203;202204;202205;202206;202207
NE;CE;JUAZEIRO DO NORTE;AEROPORTO;B&C COMERCIO DE DERIVADOS DO PETROLEO LTDA;AVENIDA CORONEL HUMBERTO BEZERRA, NR: 956, COMPLEMENTO: NI - BAIRRO: AEROPORTO;DIESEL;5.59;0.0;6.456666666666667;6.623333333333334;6.59;7.02;7.62
NE;CE;JUAZEIRO DO NORTE;AEROPORTO;B&C COMERCIO DE DERIVADOS DO PETROLEO LTDA;AVENIDA CORONEL HUMBERTO BEZERRA, NR: 956, COMPLEMENTO: NI - BAIRRO: AEROPORTO;DIESEL S10;5.8100000000000005;0.0;6.72;7.0200000000000005;6.99;7.35;7.54
NE;CE;JUAZEIRO DO NORTE;AEROPORTO;B&C COMERCIO DE DERIVADOS DO PETROLEO LTDA;AVENIDA CORONEL HUMBERTO BEZERRA, NR: 956, COMPLEMENTO: NI - BAIRRO: AEROPORTO;ETANOL;5.39;0.0;5.546666666666667;6.0;6.05;6.09;5.725
NE;CE;JUAZEIRO DO NORTE;AEROPORTO;B&C COMERCIO DE DERIVADOS DO PETROLEO LTDA;AVENIDA CORONEL HUMBERTO BEZERRA, NR: 956, COMPLEMENTO: NI - BAIRRO: AEROPORTO;GASOLINA;6.5225;0.0;7.03;7.123333333333332;7.225;7.45;5.89
NE;CE;JUAZEIRO DO NORTE;AEROPORTO;B&C COMERCIO DE DERIVADOS DO PETROLEO LTDA;AVENIDA CORONEL HUMBERTO BEZERRA, NR: 956, COMPLEMENTO: NI - BAIRRO: AEROPORTO;GASOLINA ADITIVADA;6.699999999999999;0.0;7.296666666666667;7.55;7.55;7.65;6.82
NE;CE;JUAZEIRO DO NORTE;AEROPORTO;JOAO PAULO DE ALENCAR GRANGEIRO;AVENIDA GOVERNADOR VIRGILIO TAVORA, NR: 999 A, COMPLEMENTO: NI - BAIRRO: AEROPORTO;DIESEL S10;0.0;6.07;7.140000000000001;7.09;7.390000000000001;0.0;0.0
NE;CE;JUAZEIRO DO NORTE;AEROPORTO;JOAO PAULO DE ALENCAR GRANGEIRO;AVENIDA GOVERNADOR VIRGILIO TAVORA, NR: 999 A, COMPLEMENTO: NI - BAIRRO: AEROPORTO;ETANOL;5.35;5.35;5.725;5.9;6.1;0.0;0.0
NE;CE;JUAZEIRO DO NORTE;AEROPORTO;JOAO PAULO DE ALENCAR GRANGEIRO;AVENIDA GOVERNADOR VIRGILIO TAVORA, NR: 999 A, COMPLEMENTO: NI - BAIRRO: AEROPORTO;GASOLINA;6.57;6.54;7.35;7.23;7.395;0.0;0.0
NE;CE;JUAZEIRO DO NORTE;AEROPORTO;JOAO PAULO DE ALENCAR GRANGEIRO;AVENIDA GOVERNADOR VIRGILIO TAVORA, NR: 999 A, COMPLEMENTO: NI - BAIRRO: AEROPORTO;GASOLINA ADITIVADA;6.77;6.74;7.452500000000001;7.38;7.595;0.0;0.0
NE;CE;JUAZEIRO DO NORTE;AEROPORTO;R.M. MACEDO PETROLEO EIRELI;AVENIDA VIRGILIO TAVORA, NR: 2650, COMPLEMENTO: NI - BAIRRO: AEROPORTO;DIESEL;0.0;0.0;0.0;0.0;0.0;7.35;0.0
NE;CE;JUAZEIRO DO NORTE;AEROPORTO;R.M. MACEDO PETROLEO EIRELI;AVENIDA VIRGILIO TAVORA, NR: 2650, COMPLEMENTO: NI - BAIRRO: AEROPORTO;DIESEL S10;5.87;5.859999999999999;6.646666666666667;6.99;6.993333333333333;7.243333333333333;7.566666666666667
NE;CE;JUAZEIRO DO NORTE;AEROPORTO;R.M. MACEDO PETROLEO EIRELI;AVENIDA VIRGILIO TAVORA, NR: 2650, COMPLEMENTO: NI - BAIRRO: AEROPORTO;ETANOL;5.349;5.326333333333333;5.583333333333333;5.8;6.026666666666666;5.91;5.58
NE;CE;JUAZEIRO DO NORTE;AEROPORTO;R.M. MACEDO PETROLEO EIRELI;AVENIDA VIRGILIO TAVORA, NR: 2650, COMPLEMENTO: NI - BAIRRO: AEROPORTO;GASOLINA;6.5245;6.426666666666667;6.896666666666667;7.1;7.163333333333333;7.150000000000001;6.205
NE;CE;JUAZEIRO DO NORTE;AEROPORTO;R.M. MACEDO PETROLEO EIRELI;AVENIDA VIRGILIO TAVORA, NR: 2650, COMPLEMENTO: NI - BAIRRO: AEROPORTO;GASOLINA ADITIVADA;6.63975;6.6129999999999995;7.213333333333334;7.4;7.293333333333333;7.396666666666667;6.9675
NE;CE;JUAZEIRO DO NORTE;CENTRO;A. P. DISTRIBUIDORA DE PETROLEO LTDA;RUA SAO PEDRO, NR: 1661, COMPLEMENTO: NI - BAIRRO: CENTRO;DIESEL S10;0.0;0.0;7.04;0.0;0.0;0.0;0.0
NE;CE;JUAZEIRO DO NORTE;CENTRO;A. P. DISTRIBUIDORA DE PETROLEO LTDA;RUA SAO PEDRO, NR: 1661, COMPLEMENTO: NI - BAIRRO: CENTRO;ETANOL;0.0;0.0;5.69;0.0;0.0;0.0;0.0
NE;CE;JUAZEIRO DO NORTE;CENTRO;A. P. DISTRIBUIDORA DE PETROLEO LTDA;RUA SAO PEDRO, NR: 1661, COMPLEMENTO: NI - BAIRRO: CENTRO;GASOLINA;0.0;0.0;7.49;0.0;0.0;0.0;0.0
NE;CE;JUAZEIRO DO NORTE;CENTRO;A. P. DISTRIBUIDORA DE PETROLEO LTDA;RUA SAO PEDRO, NR: 1661, COMPLEMENTO: NI - BAIRRO: CENTRO;GASOLINA ADITIVADA;0.0;0.0;7.99;0.0;0.0;0.0;0.0
NE;CE;JUAZEIRO DO NORTE;CENTRO;MG DERIVADOS DE PETROLEO LTDA;RUA JOAQUIM ROMAO BATISTA, NR: 15, COMPLEMENTO: NI - BAIRRO: CENTRO;DIESEL;5.69;0.0;0.0;0.0;0.0;0.0;0.0
NE;CE;JUAZEIRO DO NORTE;CENTRO;MG DERIVADOS DE PETROLEO LTDA;RUA JOAQUIM ROMAO BATISTA, NR: 15, COMPLEMENTO: NI - BAIRRO: CENTRO;DIESEL S10;5.98;0.0;0.0;0.0;7.04;7.65;0.0
NE;CE;JUAZEIRO DO NORTE;CENTRO;MG DERIVADOS DE PETROLEO LTDA;RUA JOAQUIM ROMAO BATISTA, NR: 15, COMPLEMENTO: NI - BAIRRO: CENTRO;ETANOL;0.0;0.0;0.0;0.0;0.0;5.85;0.0
NE;CE;JUAZEIRO DO NORTE;CENTRO;MG DERIVADOS DE PETROLEO LTDA;RUA JOAQUIM ROMAO BATISTA, NR: 15, COMPLEMENTO: NI - BAIRRO: CENTRO;GASOLINA;6.69;0.0;0.0;0.0;7.22;7.59;0.0
