Regiao;UF;NomMunicipio;NomBairro;NomRevenda;NomEnderecoCompleto;DscProduto;202201;202202;202203;202204;202205;202206;202207
NE;MA;IMPERATRIZ;BACURI;AUTO POSTO BURITI III LTDA;RUA LEONCIO PIRES DOURADO, NR: 1199, COMPLEMENTO: NI - BAIRRO: BACURI;DIESEL S10;5.715666666666667;5.749;7.099;6.978999999999999;7.49;7.890000000000001;7.95
NE;MA;IMPERATRIZ;BACURI;AUTO POSTO BURITI III LTDA;RUA LEONCIO PIRES DOURADO, NR: 1199, COMPLEMENTO: NI - BAIRRO: BACURI;ETANOL;5.649;5.599;6.199;6.229;6.35;6.09;5.79
NE;MA;IMPERATRIZ;BACURI;AUTO POSTO BURITI III LTDA;RUA LEONCIO PIRES DOURADO, NR: 1199, COMPLEMENTO: NI - BAIRRO: BACURI;GASOLINA;6.665666666666667;6.699;7.349;7.349;7.39;7.52;6.94
NE;MA;IMPERATRIZ;BACURI;AUTO POSTO BURITI III LTDA;RUA LEONCIO PIRES DOURADO, NR: 1199, COMPLEMENTO: NI - BAIRRO: BACURI;GASOLINA ADITIVADA;6.765666666666667;6.799;7.449;7.449;7.49;7.67;7.135
NE;MA;IMPERATRIZ;CENTRO;AUTO POSTO UNIAO LTDA;RUA LUIZ DOMINGUES, NR: 2000, COMPLEMENTO: NI - BAIRRO: CENTRO;DIESEL S10;5.544666666666667;5.788;6.8925;6.82;7.0600000000000005;7.725;8.2
NE;MA;IMPERATRIZ;CENTRO;AUTO POSTO UNIAO LTDA;RUA LUIZ DOMINGUES, NR: 2000, COMPLEMENTO: NI - BAIRRO: CENTRO;ETANOL;5.788;5.5135;5.7935;5.988;6.115;5.92;5.86
NE;MA;IMPERATRIZ;CENTRO;AUTO POSTO UNIAO LTDA;RUA LUIZ DOMINGUES, NR: 2000, COMPLEMENTO: NI - BAIRRO: CENTRO;GASOLINA;6.588;6.518000000000001;7.253500000000001;7.188;7.195;7.215;6.8149999999999995
NE;MA;IMPERATRIZ;CENTRO;AUTO POSTO UNIAO LTDA;RUA LUIZ DOMINGUES, NR: 2000, COMPLEMENTO: NI - BAIRRO: CENTRO;GASOLINA ADITIVADA;6.721333333333334;6.6615;7.413;7.428;7.345000000000001;7.4;7.07
NE;MA;IMPERATRIZ;CENTRO;J O POSTO DE COMBUSTIVEIS LTDA;RUA SOUZA LIMA, NR: 496, COMPLEMENTO: NI - BAIRRO: CENTRO;DIESEL S10;5.832333333333334;5.899;7.099;6.999;7.195;7.39;7.99
NE;MA;IMPERATRIZ;CENTRO;J O POSTO DE COMBUSTIVEIS LTDA;RUA SOUZA LIMA, NR: 496, COMPLEMENTO: NI - BAIRRO: CENTRO;ETANOL;5.685666666666666;5.629;5.899;5.899;6.095000000000001;5.99;5.79
NE;MA;IMPERATRIZ;CENTRO;J O POSTO DE COMBUSTIVEIS LTDA;RUA SOUZA LIMA, NR: 496, COMPLEMENTO: NI - BAIRRO: CENTRO;GASOLINA;6.565666666666666;6.558999999999999;7.224;7.199;7.155;7.470000000000001;6.94
NE;MA;IMPERATRIZ;CENTRO;J O POSTO DE COMBUSTIVEIS LTDA;RUA SOUZA LIMA, NR: 496, COMPLEMENTO: NI - BAIRRO: CENTRO;GASOLINA ADITIVADA;6.765666666666667;6.769;7.4239999999999995;7.3945;7.355;7.619999999999999;7.135
NE;MA;IMPERATRIZ;COCO GRANDE;G. INACIO DA SILVA COMERCIO;RODOVIA BR 010 KM 1352, NR: 2004, COMPLEMENTO: A - BAIRRO: COCO GRANDE;ETANOL;5.549;5.549;5.774;5.99;6.1930000000000005;6.19;5.720000000000001
NE;MA;IMPERATRIZ;COCO GRANDE;G. INACIO DA SILVA COMERCIO;RODOVIA BR 010 KM 1352, NR: 2004, COMPLEMENTO: A - BAIRRO: COCO GRANDE;GASOLINA;6.379;6.379;6.638999999999999;6.89;6.893;6.945;6.050000000000001
NE;MA;IMPERATRIZ;COCO GRANDE;POSTO REGINA DE PETROLEO LTDA;RODOVIA BR 010 KM 1352, NR: SN, COMPLEMENTO: NI - BAIRRO: COCO GRANDE;DIESEL;5.464;0.0;0.0;0.0;0.0;0.0;0.0
NE;MA;IMPERATRIZ;COCO GRANDE;POSTO REGINA DE PETROLEO LTDA;RODOVIA BR 010 KM 1352, NR: SN, COMPLEMENTO: NI - BAIRRO: COCO GRANDE;DIESEL S10;5.474;5.599;6.279;6.8095;7.15225;7.33;7.654999999999999
NE;MA;IMPERATRIZ;COCO GRANDE;POSTO REGINA DE PETROLEO LTDA;RODOVIA BR 010 KM 1352, NR: SN, COMPLEMENTO: NI - BAIRRO: COCO GRANDE;GASOLINA;6.514;6.499;6.819;7.1345;7.09725;7.07;6.12
NE;MA;IMPERATRIZ;COCO GRANDE;POSTO REGINA DE PETROLEO LTDA;RODOVIA BR 010 KM 1352, NR: SN, COMPLEMENTO: NI - BAIRRO: COCO GRANDE;GASOLINA ADITIVADA;6.629;6.599;6.9190000000000005;7.2845;7.19725;7.17;0.0
NE;MA;IMPERATRIZ;COCO GRANDE;POSTO SANTA TEREZA LTDA;ROD.BR 010, NR: S/N, COMPLEMENTO: KM 1353 - BAIRRO: COCO GRANDE;DIESEL;5.474;5.599;6.279;6.814;7.073;7.285;7.635
NE;MA;IMPERATRIZ;COCO GRANDE;POSTO SANTA TEREZA LTDA;ROD.BR 010, NR: S/N, COMPLEMENTO: KM 1353 - BAIRRO: COCO GRANDE;DIESEL S10;5.474;5.599;6.279;6.814;7.093;7.335000000000001;7.66
NE;MA;IMPERATRIZ;COCO GRANDE;POSTO SANTA TEREZA LTDA;ROD.BR 010, NR: S/N, COMPLEMENTO: KM 1353 - BAIRRO: COCO GRANDE;ETANOL;5.9239999999999995;5.849;5.724;6.0489999999999995;6.476333333333334;6.33;5.85
NE;MA;IMPERATRIZ;COCO GRANDE;POSTO SANTA TEREZA LTDA;ROD.BR 010, NR: S/N, COMPLEMENTO: KM 1353 - BAIRRO: COCO GRANDE;GASOLINA;6.514;6.549;6.844;7.239;7.186333333333334;7.23;6.369999999999999
NE;MA;IMPERATRIZ;COCO GRANDE;POSTO SANTA TEREZA LTDA;ROD.BR 010, NR: S/N, COMPLEMENTO: KM 1353 - BAIRRO: COCO GRANDE;GASOLINA ADITIVADA;6.739000000000001;6.799;7.069000000000001;7.439;7.369666666666667;7.415;6.545
NE;MA;IMPERATRIZ;ENTRONCAMENTO;SUPER POSTO ESTRELA LTDA;AVENIDA DORGIVAL PINHEIRO DE SOUSA, NR: 1746, COMPLEMENTO: NI - BAIRRO: ENTRONCAMENTO;DIESEL S10;5.649;0.0;0.0;0.0;0.0;0.0;0.0
NE;MA;IMPERATRIZ;ENTRONCAMENTO;SUPER POSTO ESTRELA LTDA;AVENIDA DORGIVAL PINHEIRO DE SOUSA, NR: 1746, COMPLEMENTO: NI - BAIRRO: ENTRONCAMENTO;ETANOL;5.699;0.0;0.0;0.0;0.0;0.0;0.0
NE;MA;IMPERATRIZ;ENTRONCAMENTO;SUPER POSTO ESTRELA LTDA;AVENIDA DORGIVAL PINHEIRO DE SOUSA, NR: 1746, COMPLEMENTO: NI - BAIRRO: ENTRONCAMENTO;GASOLINA;6.549;0.0;0.0;0.0;0.0;0.0;0.0
NE;MA;IMPERATRIZ;ENTRONCAMENTO;SUPER POSTO ESTRELA LTDA;AVENIDA DORGIVAL PINHEIRO DE SOUSA, NR: 1746, COMPLEMENTO: NI - BAIRRO: ENTRONCAMENTO;GASOLINA ADITIVADA;6.649;0.0;0.0;0.0;0.0;0.0;0.0
NE;MA;IMPERATRIZ;NOVA IMPERATRIZ;AUTO POSTO ALVORADA LTDA;AVENIDA BERNARDO SAYAO, NR: 1221, COMPLEMENTO: NI - BAIRRO: NOVA IMPERATRIZ;DIESEL;5.589;5.749;0.0;0.0;0.0;0.0;0.0
NE;MA;IMPERATRIZ;NOVA IMPERATRIZ;AUTO POSTO ALVORADA LTDA;AVENIDA BERNARDO SAYAO, NR: 1221, COMPLEMENTO: NI - BAIRRO: NOVA IMPERATRIZ;DIESEL S10;5.779;5.849;6.999;7.0489999999999995;7.195;7.67;7.99
NE;MA;IMPERATRIZ;NOVA IMPERATRIZ;AUTO POSTO ALVORADA LTDA;AVENIDA BERNARDO SAYAO, NR: 1221, COMPLEMENTO: NI - BAIRRO: NOVA IMPERATRIZ;ETANOL;5.765666666666667;5.649;5.689;6.199;6.245;6.0945;5.99
NE;MA;IMPERATRIZ;NOVA IMPERATRIZ;AUTO POSTO ALVORADA LTDA;AVENIDA BERNARDO SAYAO, NR: 1221, COMPLEMENTO: NI - BAIRRO: NOVA IMPERATRIZ;GASOLINA;6.529;6.558999999999999;7.229;7.1739999999999995;7.155;7.225;7.19
NE;MA;IMPERATRIZ;NOVA IMPERATRIZ;AUTO POSTO ALVORADA LTDA;AVENIDA BERNARDO SAYAO, NR: 1221, COMPLEMENTO: NI - BAIRRO: NOVA IMPERATRIZ;GASOLINA ADITIVADA;6.7156666666666665;6.749;7.404;7.5489999999999995;7.305;7.4;7.29
NE;MA;IMPERATRIZ;NOVA IMPERATRIZ;AUTO POSTO DE COMBUSTIVEIS IMPERIAL LTDA;AVENIDA BERNARDO SAYAO, NR: 509, COMPLEMENTO: NI - BAIRRO: NOVA IMPERATRIZ;DIESEL S10;5.724;5.789;6.999;6.949;7.17;7.59;7.89
NE;MA;IMPERATRIZ;NOVA IMPERATRIZ;AUTO POSTO DE COMBUSTIVEIS IMPERIAL LTDA;AVENIDA BERNARDO SAYAO, NR: 509, COMPLEMENTO: NI - BAIRRO: NOVA IMPERATRIZ;ETANOL;5.849;5.699;6.399;6.0489999999999995;6.145;5.99;5.890000000000001
NE;MA;IMPERATRIZ;NOVA IMPERATRIZ;AUTO POSTO DE COMBUSTIVEIS IMPERIAL LTDA;AVENIDA BERNARDO SAYAO, NR: 509, COMPLEMENTO: NI - BAIRRO: NOVA IMPERATRIZ;GASOLINA;6.574;6.569000000000001;7.2490000000000006;7.199;7.155;7.470000000000001;6.94
NE;MA;IMPERATRIZ;NOVA IMPERATRIZ;AUTO POSTO DE COMBUSTIVEIS IMPERIAL LTDA;AVENIDA BERNARDO SAYAO, NR: 509, COMPLEMENTO: NI - BAIRRO: NOVA IMPERATRIZ;GASOLINA ADITIVADA;6.6739999999999995;6.694;7.349;7.299;7.255;7.57;7.04
NE;MA;IMPERATRIZ;NOVA IMPERATRIZ;WIA EMPREENDIMENTOS LTDA.;RUA SANTO CRISTO, NR: 1333, COMPLEMENTO: NI - BAIRRO: NOVA IMPERATRIZ;DIESEL S10;5.482333333333333;5.619;6.989;6.879;7.1678;7.36;7.695
NE;MA;IMPERATRIZ;NOVA IMPERATRIZ;WIA EMPREENDIMENTOS LTDA.;RUA SANTO CRISTO, NR: 1333, COMPLEMENTO: NI - BAIRRO: NOVA IMPERATRIZ;GASOLINA;6.539000000000001;6.554;7.244;7.179;7.1537999999999995;7.225;6.635
NE;MA;IMPERATRIZ;PARQUE AMAZONAS;AUTO POSTO BURITI IV EIRELI;AVENIDA RIO NEGRO, NR: 8, COMPLEMENTO: NI - BAIRRO: PARQUE AMAZONAS;DIESEL S10;5.624;5.699;6.374;6.999;7.309666666666668;7.6899999999999995;7.89
NE;MA;IMPERATRIZ;PARQUE AMAZONAS;AUTO POSTO BURITI IV EIRELI;AVENIDA RIO NEGRO, NR: 8, COMPLEMENTO: NI - BAIRRO: PARQUE AMAZONAS;ETANOL;5.709;5.649;5.7490000000000006;5.899;6.093;6.09;5.99
NE;MA;IMPERATRIZ;PARQUE AMAZONAS;AUTO POSTO BURITI IV EIRELI;AVENIDA RIO NEGRO, NR: 8, COMPLEMENTO: NI - BAIRRO: PARQUE AMAZONAS;GASOLINA;6.569;6.599;6.9239999999999995;7.199;7.169666666666667;7.37;6.59
NE;MA;IMPERATRIZ;PARQUE AMAZONAS;AUTO POSTO BURITI IV EIRELI;AVENIDA RIO NEGRO, NR: 8, COMPLEMENTO: NI - BAIRRO: PARQUE AMAZONAS;GASOLINA ADITIVADA;6.6690000000000005;6.719;7.034000000000001;7.349;7.286333333333334;7.52;6.785
NE;MA;IMPERATRIZ;PARQUE DAS PALMEIRAS;POSTO LAWANDA LTDA;AVENIDA BABACULANDIA, NR: 1994, COMPLEMENTO: NI - BAIRRO: PARQUE DAS PALMEIRAS;DIESEL;5.464;5.669;6.489000000000001;6.689;7.176333333333333;7.575;7.72
NE;MA;IMPERATRIZ;PARQUE DAS PALMEIRAS;POSTO LAWANDA LTDA;AVENIDA BABACULANDIA, NR: 1994, COMPLEMENTO: NI - BAIRRO: PARQUE DAS PALMEIRAS;DIESEL S10;5.474;5.679;6.494;6.6985;7.186333333333333;7.585;7.765
NE;MA;IMPERATRIZ;PARQUE DAS PALMEIRAS;POSTO LAWANDA LTDA;AVENIDA BABACULANDIA, NR: 1994, COMPLEMENTO: NI - BAIRRO: PARQUE DAS PALMEIRAS;ETANOL;5.599;5.649;5.6240000000000006;5.899;5.926333333333333;5.99;5.71
NE;MA;IMPERATRIZ;PARQUE DAS PALMEIRAS;POSTO LAWANDA LTDA;AVENIDA BABACULANDIA, NR: 1994, COMPLEMENTO: NI - BAIRRO: PARQUE DAS PALMEIRAS;GASOLINA;6.5489999999999995;6.549;6.899;7.199;7.153;7.37;6.515000000000001
NE;MA;IMPERATRIZ;PARQUE DAS PALMEIRAS;POSTO LAWANDA LTDA;AVENIDA BABACULANDIA, NR: 1994, COMPLEMENTO: NI - BAIRRO: PARQUE DAS PALMEIRAS;GASOLINA ADITIVADA;6.649;6.699;6.9990000000000006;7.249;7.253;7.470000000000001;6.615
NE;MA;IMPERATRIZ;PARQUE PLANALTO;AUTO POSTO QUATRO RODAS LTDA;AVENIDA JK, NR: 1139, COMPLEMENTO: NI - BAIRRO: PARQUE PLANALTO;DIESEL;5.464;5.589;5.889;6.849;7.22975;7.703333333333333;7.919999999999999
NE;MA;IMPERATRIZ;PARQUE PLANALTO;AUTO POSTO QUATRO RODAS LTDA;AVENIDA JK, NR: 1139, COMPLEMENTO: NI - BAIRRO: PARQUE PLANALTO;DIESEL S10;5.474;5.599;6.444;6.859;7.23975;7.536666666666666;7.9425
