Regiao;UF;NomMunicipio;NomBairro;NomRevenda;NomEnderecoCompleto;DscProduto;202201;202202;202203;202204;202205;202206;202207
SE;RJ;SAO GONCALO;ALCANTARA;A.P.J. ALCANTARA COMERCIO DE COMBUSTIVEIS LTDA;RUA JOVELINO DE OLIVEIRA VIANNA, NR: 410, COMPLEMENTO: NI - BAIRRO: ALCANTARA;DIESEL;0.0;0.0;0.0;6.299;0.0;6.656666666666666;6.99
SE;RJ;SAO GONCALO;ALCANTARA;A.P.J. ALCANTARA COMERCIO DE COMBUSTIVEIS LTDA;RUA JOVELINO DE OLIVEIRA VIANNA, NR: 410, COMPLEMENTO: NI - BAIRRO: ALCANTARA;DIESEL S10;5.48575;5.599;6.259;6.999;6.4422500000000005;6.49;6.99
SE;RJ;SAO GONCALO;ALCANTARA;A.P.J. ALCANTARA COMERCIO DE COMBUSTIVEIS LTDA;RUA JOVELINO DE OLIVEIRA VIANNA, NR: 410, COMPLEMENTO: NI - BAIRRO: ALCANTARA;ETANOL;5.699;5.574;5.6384;5.849;5.917249999999999;5.640000000000001;4.656666666666666
SE;RJ;SAO GONCALO;ALCANTARA;A.P.J. ALCANTARA COMERCIO DE COMBUSTIVEIS LTDA;RUA JOVELINO DE OLIVEIRA VIANNA, NR: 410, COMPLEMENTO: NI - BAIRRO: ALCANTARA;GASOLINA;6.9864999999999995;6.999;7.419;7.5489999999999995;7.4915;7.465;5.756666666666667
SE;RJ;SAO GONCALO;ALCANTARA;A.P.J. ALCANTARA COMERCIO DE COMBUSTIVEIS LTDA;RUA JOVELINO DE OLIVEIRA VIANNA, NR: 410, COMPLEMENTO: NI - BAIRRO: ALCANTARA;GASOLINA ADITIVADA;7.074;7.049;7.4990000000000006;7.574;7.49225;7.465;5.756666666666667
SE;RJ;SAO GONCALO;ALCANTARA;AUTO POSTO TOP DE SAO GONCALO LTDA;RUA DOUTOR ALFREDO BACKER, NR: 172, COMPLEMENTO: E 172 LOJA 01 - BAIRRO: ALCANTARA;DIESEL S10;0.0;0.0;0.0;0.0;0.0;6.59;7.19
SE;RJ;SAO GONCALO;ALCANTARA;AUTO POSTO TOP DE SAO GONCALO LTDA;RUA DOUTOR ALFREDO BACKER, NR: 172, COMPLEMENTO: E 172 LOJA 01 - BAIRRO: ALCANTARA;ETANOL;0.0;0.0;0.0;0.0;0.0;5.69;4.79
SE;RJ;SAO GONCALO;ALCANTARA;AUTO POSTO TOP DE SAO GONCALO LTDA;RUA DOUTOR ALFREDO BACKER, NR: 172, COMPLEMENTO: E 172 LOJA 01 - BAIRRO: ALCANTARA;GASOLINA;0.0;0.0;0.0;0.0;0.0;7.39;5.79
SE;RJ;SAO GONCALO;ALCANTARA;AUTO POSTO TOP DE SAO GONCALO LTDA;RUA DOUTOR ALFREDO BACKER, NR: 172, COMPLEMENTO: E 172 LOJA 01 - BAIRRO: ALCANTARA;GASOLINA ADITIVADA;0.0;0.0;0.0;0.0;0.0;7.44;5.865
SE;RJ;SAO GONCALO;ALCANTARA;AUTO POSTO TOP DE SAO GONCALO LTDA - EPP;RUA DOUTOR ALFREDO BACKER, NR: 172, COMPLEMENTO: E 172 LOJA 01 - BAIRRO: ALCANTARA;DIESEL S10;5.249;5.349;5.899;6.499;6.3945;0.0;0.0
SE;RJ;SAO GONCALO;ALCANTARA;AUTO POSTO TOP DE SAO GONCALO LTDA - EPP;RUA DOUTOR ALFREDO BACKER, NR: 172, COMPLEMENTO: E 172 LOJA 01 - BAIRRO: ALCANTARA;ETANOL;5.474;5.399;5.0489999999999995;5.7475000000000005;5.9945;0.0;0.0
SE;RJ;SAO GONCALO;ALCANTARA;AUTO POSTO TOP DE SAO GONCALO LTDA - EPP;RUA DOUTOR ALFREDO BACKER, NR: 172, COMPLEMENTO: E 172 LOJA 01 - BAIRRO: ALCANTARA;GASOLINA;6.899;6.7989999999999995;7.024;7.3975;7.4445;0.0;0.0
SE;RJ;SAO GONCALO;ALCANTARA;AUTO POSTO TOP DE SAO GONCALO LTDA - EPP;RUA DOUTOR ALFREDO BACKER, NR: 172, COMPLEMENTO: E 172 LOJA 01 - BAIRRO: ALCANTARA;GASOLINA ADITIVADA;6.949;6.849;7.074;7.474;7.544499999999999;0.0;0.0
SE;RJ;SAO GONCALO;ALCANTARA;POSTO DE GASOLINA STOP SHOP LTDA;RUA MANOEL JOAO GONCALVES, NR: 674, COMPLEMENTO: NI - BAIRRO: ALCANTARA;DIESEL S10;5.574;5.899;6.599;6.899;7.39;7.54;7.79
