Regiao;UF;NomMunicipio;NomBairro;NomRevenda;NomEnderecoCompleto;DscProduto;202201;202202;202203;202204;202205;202206;202207
SE;SP;BARUERI;ALPHAVILLE;ALPHA CENTER SERVIÇOS AUTOMOTIVOS LTDA;ALAMEDA ARAGUAIA, NR: 60, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;DIESEL S10;5.999;5.999;6.449;6.899;7.0945;7.29;7.79
SE;SP;BARUERI;ALPHAVILLE;ALPHA CENTER SERVIÇOS AUTOMOTIVOS LTDA;ALAMEDA ARAGUAIA, NR: 60, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;ETANOL;5.052;4.7725;4.699;5.578;5.19;4.69;4.095000000000001
SE;SP;BARUERI;ALPHAVILLE;ALPHA CENTER SERVIÇOS AUTOMOTIVOS LTDA;ALAMEDA ARAGUAIA, NR: 60, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA;6.499;6.499;6.649;6.999;6.9945;6.99;5.9399999999999995
SE;SP;BARUERI;ALPHAVILLE;ALPHA CENTER SERVIÇOS AUTOMOTIVOS LTDA;ALAMEDA ARAGUAIA, NR: 60, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA ADITIVADA;6.999;6.999;6.999;7.299;7.2945;7.29;6.79
SE;SP;BARUERI;ALPHAVILLE;CENTRO AUTOMOTIVO ALPHA CENTER LTDA;ALAMEDA RIO NEGRO, NR: 350, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;DIESEL S10;6.399;6.399;6.829;0.0;7.49;6.59;7.59
SE;SP;BARUERI;ALPHAVILLE;CENTRO AUTOMOTIVO ALPHA CENTER LTDA;ALAMEDA RIO NEGRO, NR: 350, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;ETANOL;5.399;5.399;5.249;0.0;5.99;5.99;4.74
SE;SP;BARUERI;ALPHAVILLE;CENTRO AUTOMOTIVO ALPHA CENTER LTDA;ALAMEDA RIO NEGRO, NR: 350, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA;7.599;7.599;7.999;0.0;8.59;8.59;7.74
SE;SP;BARUERI;ALPHAVILLE;CENTRO AUTOMOTIVO ALPHA CENTER LTDA;ALAMEDA RIO NEGRO, NR: 350, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA ADITIVADA;8.699;8.699;8.899000000000001;0.0;8.99;8.99;8.14
SE;SP;BARUERI;ALPHAVILLE;CENTRO AUTOMOTIVO ALPHA ZERO LTDA;ALAMEDA ARAGUAIA, NR: 1645, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;DIESEL S10;6.399;6.399;6.829;7.299;7.49;6.59;7.59
SE;SP;BARUERI;ALPHAVILLE;CENTRO AUTOMOTIVO ALPHA ZERO LTDA;ALAMEDA ARAGUAIA, NR: 1645, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;ETANOL;5.399;5.199;5.249;5.999;5.99;5.99;4.74
SE;SP;BARUERI;ALPHAVILLE;CENTRO AUTOMOTIVO ALPHA ZERO LTDA;ALAMEDA ARAGUAIA, NR: 1645, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA;7.599;7.599;7.999;8.499;8.59;8.59;7.74
SE;SP;BARUERI;ALPHAVILLE;CENTRO AUTOMOTIVO ALPHA ZERO LTDA;ALAMEDA ARAGUAIA, NR: 1645, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA ADITIVADA;8.699;8.699;8.899000000000001;8.999;8.99;8.99;8.14
SE;SP;BARUERI;ALPHAVILLE;FGN COMERCIAL LTDA;ALAMEDA RIO NEGRO, NR: 1139, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;DIESEL S10;6.399;6.399;6.499;7.199;7.390000000000001;7.59;8.190000000000001
SE;SP;BARUERI;ALPHAVILLE;FGN COMERCIAL LTDA;ALAMEDA RIO NEGRO, NR: 1139, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;ETANOL;5.399;5.399;5.399;5.999;5.99;5.99;4.74
SE;SP;BARUERI;ALPHAVILLE;FGN COMERCIAL LTDA;ALAMEDA RIO NEGRO, NR: 1139, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA;7.599;7.599;7.599;8.499;8.59;8.59;7.74
SE;SP;BARUERI;ALPHAVILLE;FGN COMERCIAL LTDA;ALAMEDA RIO NEGRO, NR: 1139, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA ADITIVADA;8.599;8.699;8.699;8.999;8.99;8.99;8.14
SE;SP;BARUERI;ALPHAVILLE;PLUS CENTER AUTO POSTO LTDA;AVENIDA ALPHAVILLE, NR: 590, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;DIESEL S10;6.299;6.399;6.779;0.0;0.0;0.0;7.99
SE;SP;BARUERI;ALPHAVILLE;PLUS CENTER AUTO POSTO LTDA;AVENIDA ALPHAVILLE, NR: 590, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;ETANOL;5.399;5.399;5.649;0.0;0.0;0.0;4.49
SE;SP;BARUERI;ALPHAVILLE;PLUS CENTER AUTO POSTO LTDA;AVENIDA ALPHAVILLE, NR: 590, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA;7.599;7.599;7.999;0.0;0.0;0.0;7.49
SE;SP;BARUERI;ALPHAVILLE;PLUS CENTER AUTO POSTO LTDA;AVENIDA ALPHAVILLE, NR: 590, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA ADITIVADA;8.699;8.699;8.899000000000001;0.0;0.0;0.0;7.99
SE;SP;BARUERI;ALPHAVILLE;POSTO DE SERVICOS DUQUE ALPHAVILLE LTDA;ALAMEDA RIO NEGRO, NR: 600, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;DIESEL S10;6.199;6.199;6.629;6.999;6.99;6.99;7.49
SE;SP;BARUERI;ALPHAVILLE;POSTO DE SERVICOS DUQUE ALPHAVILLE LTDA;ALAMEDA RIO NEGRO, NR: 600, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;ETANOL;4.999;4.999;5.249;5.999;5.49;4.99;3.89
SE;SP;BARUERI;ALPHAVILLE;POSTO DE SERVICOS DUQUE ALPHAVILLE LTDA;ALAMEDA RIO NEGRO, NR: 600, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA;7.299;7.299;7.7490000000000006;8.199;7.69;6.99;6.6899999999999995
SE;SP;BARUERI;ALPHAVILLE;POSTO DE SERVICOS DUQUE ALPHAVILLE LTDA;ALAMEDA RIO NEGRO, NR: 600, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA ADITIVADA;8.299;8.299;7.849;8.399;7.9399999999999995;7.29;6.99
SE;SP;BARUERI;ALPHAVILLE;POSTO DE SERVICOS DUQUE ALPHAVILLE LTDA;ALAMEDA RIO NEGRO, NR: 600, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GNV;4.699;4.699;5.299;0.0;5.29;5.99;5.99
SE;SP;BARUERI;ALPHAVILLE;RALPHA POSTO LTDA;ALAMEDA ARAGUAIA, NR: 941, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;DIESEL S10;5.699;5.699;6.449;0.0;7.1;0.0;7.7
SE;SP;BARUERI;ALPHAVILLE;RALPHA POSTO LTDA;ALAMEDA ARAGUAIA, NR: 941, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;ETANOL;4.799;4.4990000000000006;4.599;0.0;4.89;0.0;3.9499999999999997
SE;SP;BARUERI;ALPHAVILLE;RALPHA POSTO LTDA;ALAMEDA ARAGUAIA, NR: 941, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA;6.299;6.299;6.4990000000000006;0.0;6.79;0.0;5.85
SE;SP;BARUERI;ALPHAVILLE;RALPHA POSTO LTDA;ALAMEDA ARAGUAIA, NR: 941, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;GASOLINA ADITIVADA;6.499;6.499;6.699;0.0;6.99;0.0;6.045
SE;SP;BARUERI;ALPHAVILLE;RIO NEGRO DERIVADOS DE PETROLEO LTDA;ALAMEDA RIO NEGRO, NR: 229, COMPLEMENTO: NI - BAIRRO: ALPHAVILLE;DIESEL S10;5.899;5.999;6.649;7.199;7.295;0.0;8.0
