data_iniSE;SE;casos_est;casos_est_min;casos_est_max;casos;p_rt1;p_inc100k;Localidade_id;nivel;id;versao_modelo;tweet;Rt;pop;tempmin;umidmax;receptivo;transmissao;nivel_inc;umidmed;umidmin;tempmed;tempmax;casprov;casprov_est;casprov_est_min;casprov_est_max;casconf;notif_accum_year;Nome_Município;codigo_municipio_completo
2023-02-19;202308;3.0;0;30;0;0.16936383;2.2252057;0;2;330200720230819416;2023-02-28;0.0;1.0;134819.0;25.5;91.4959375;1;0;0;70.25398;58.054996;29.8571435;33.0;;;;;;799;Itaguaí;3302007
2023-02-12;202307;3.0;0;20;0;0.020984026;2.2252057;0;2;330200720230719416;2023-02-28;0.0;0.0;134819.0;24.4;100.0;1;0;0;79.0679104;60.297482;28.5304766;32.6;;;;;;799;Itaguaí;3302007
2023-02-05;202306;4.0;2;13;2;0.0040570954;2.9669409;0;2;330200720230619416;2023-02-28;0.0;0.0;134819.0;22.5;100.0;1;0;0;74.709385;56.3117875;27.8571425;32.0;;;;;;799;Itaguaí;3302007
2023-01-29;202305;9.0;7;14;7;0.01933786;6.6756167;0;2;330200720230519416;2023-02-28;0.0;0.0;134819.0;22.4705882352941;;1;0;1;;;;;;;;;;799;Itaguaí;3302007
2023-01-22;202304;17.0;16;21;16;0.18113765;12.609499;0;2;330200720230419416;2023-02-28;0.0;1.0;134819.0;22.4411764705882;;1;0;1;;;;;;;;;;799;Itaguaí;3302007
2023-01-15;202303;16.0;15;19;15;0.31767696;11.8677635;0;3;330200720230319416;2023-02-28;0.0;1.0;134819.0;22.4117647058824;;1;0;1;;;;;;;;;;799;Itaguaí;3302007
2023-01-08;202302;32.0;32;35;32;0.9988453;23.735527;0;3;330200720230219416;2023-02-28;0.0;3.0;134819.0;22.3823529411765;;1;1;2;;;;;;;;;;799;Itaguaí;3302007
2023-01-01;202301;19.0;19;21;20;0.9546096;14.092969;0;2;330200720230119416;2023-02-28;0.0;2.0;134819.0;22.3529411764706;;1;1;1;;;;;;;;;;799;Itaguaí;3302007
2022-12-25;202252;9.0;9;10;9;0.3017306;6.6756167;0;2;330200720225219416;2023-02-28;0.0;1.0;134819.0;22.3235294117647;;1;0;1;;;;;;;;;;799;Itaguaí;3302007
2022-12-18;202251;6.0;6;6;7;0.13707581;4.4504113;0;2;330200720225119416;2023-02-28;0.0;1.0;134819.0;22.2941176470588;;1;0;1;;;;;;;;;;799;Itaguaí;3302007
2022-12-11;202250;16.0;16;16;16;0.95285136;11.8677635;0;2;330200720225019416;2023-02-28;0.0;2.0;134819.0;22.2647058823529;;1;1;1;;;;;;;;;;799;Itaguaí;3302007
2022-12-04;202249;11.0;11;11;11;0.77765083;8.159087;0;2;330200720224919416;2023-02-28;0.0;1.0;134819.0;22.2352941176471;;1;0;1;;;;;;;;;;799;Itaguaí;3302007
2022-11-27;202248;5.0;5;5;5;0.19048221;3.708676;0;2;330200720224819416;2023-02-28;0.0;1.0;134819.0;22.2058823529412;;1;0;0;;;;;;;;;;799;Itaguaí;3302007
2022-11-20;202247;8.0;8;8;8;0.5778643;5.9338818;0;2;330200720224719416;2023-02-28;0.0;1.0;134819.0;22.1764705882353;;1;0;1;;;;;;;;;;799;Itaguaí;3302007
2022-11-13;202246;10.0;10;10;10;0.80889624;7.417352;0;2;330200720224619416;2023-02-28;0.0;2.0;134819.0;22.1470588235294;;1;0;1;;;;;;;;;;799;Itaguaí;3302007
2022-11-06;202245;6.0;6;6;6;0.42778802;4.4504113;0;2;330200720224519416;2023-02-28;0.0;1.0;134819.0;22.1176470588235;;1;0;1;;;;;;;;;;799;Itaguaí;3302007
2022-10-30;202244;7.0;7;7;7;0.5342804;5.1921463;0;2;330200720224419416;2023-02-28;0.0;1.0;134819.0;22.0882352941176;;1;0;1;;;;;;;;;;799;Itaguaí;3302007
2022-10-23;202243;5.0;5;5;5;0.40790683;3.708676;0;2;330200720224319416;2023-02-28;0.0;1.0;134819.0;22.0588235294118;;1;0;0;;;;;;;;;;799;Itaguaí;3302007
2022-10-16;202242;10.0;10;10;10;0.9041186;7.417352;0;1;330200720224219416;2023-02-28;0.0;2.0;134819.0;22.0294117647059;;1;0;1;;;;;;;;;;799;Itaguaí;3302007
2022-10-09;202241;3.0;3;3;3;0.18373372;2.2252057;0;1;330200720224119416;2023-02-28;0.0;1.0;134819.0;22.0;83.565346;1;0;0;73.58998;58.11126;25.923077;28.0;;;;;;799;Itaguaí;3302007
2022-10-02;202240;7.0;7;7;7;0.51786965;5.1921463;0;1;330200720224019416;2023-02-28;0.0;1.0;134819.0;19.3333333333333;83.027924;0;0;1;81.9109186666667;79.5275286666667;20.702381;21.3333333333333;;;;;;799;Itaguaí;3302007
2022-09-25;202239;2.0;2;2;2;0.038656753;1.4834704;0;1;330200720223919416;2023-02-28;0.0;0.0;134819.0;18.0;83.049045;0;0;0;67.9304135;57.3059875;21.833334;24.5;;;;;;799;Itaguaí;3302007
2022-09-18;202238;10.0;10;10;10;0.85550845;7.417352;0;1;330200720223819416;2023-02-28;0.0;2.0;134819.0;17.0;82.62611;0;0;1;65.84182;51.328729;20.924603;23.3333333333333;;;;;;799;Itaguaí;3302007
2022-09-11;202237;7.0;7;7;7;0.61377233;5.1921463;0;1;330200720223719416;2023-02-28;0.0;1.0;134819.0;18.6666666666667;82.987662;0;0;1;71.336373;58.0358046666667;21.4916666666667;23.0;;;;;;799;Itaguaí;3302007
2022-09-04;202236;5.0;5;5;5;0.26193058;3.708676;0;1;330200720223619416;2023-02-28;1.0;1.0;134819.0;17.5;;0;0;0;;;;;;;;;;799;Itaguaí;3302007
2022-08-28;202235;5.0;5;5;5;0.18254985;3.708676;0;1;330200720223519416;2023-02-28;0.0;1.0;134819.0;16.3333333333333;92.1463533333333;0;0;0;63.6043993333333;46.219385;22.222222;25.3333333333333;;;;;;799;Itaguaí;3302007
2022-08-21;202234;8.0;8;8;8;0.39927092;5.9338818;0;1;330200720223419416;2023-02-28;0.0;1.0;134819.0;15.6666666666667;95.84613;0;0;1;69.0436486666667;51.4210456666667;19.5252526666667;21.6666666666667;;;;;;799;Itaguaí;3302007
2022-08-14;202233;8.0;8;8;8;0.31564993;5.9338818;0;1;330200720223319416;2023-02-28;0.0;1.0;134819.0;14.0;93.92977;0;0;1;45.71114;23.358036;25.083334;29.0;;;;;;799;Itaguaí;3302007
2022-08-07;202232;9.0;9;9;9;0.30925205;6.6756167;0;1;330200720223219416;2023-02-28;0.0;1.0;134819.0;15.25;;0;0;1;;;;;;;;;;799;Itaguaí;3302007
2022-07-31;202231;10.0;10;10;10;0.2577301;7.417352;0;2;330200720223119416;2023-02-28;0.0;1.0;134819.0;16.5;96.986929;0;0;1;81.3449963333333;66.3396591666667;21.3412698333333;23.8333333333333;;;;;;799;Itaguaí;3302007
2022-07-24;202230;11.0;11;11;11;0.19244118;8.159087;0;2;330200720223019416;2023-02-28;0.0;1.0;134819.0;17.0;95.8356362857143;0;0;1;68.7492128571429;46.434915;23.0765307142857;27.0;;;;;;799;Itaguaí;3302007
2022-07-17;202229;12.0;12;12;12;0.15150967;8.900823;0;2;330200720222919416;2023-02-28;0.0;1.0;134819.0;18.0;98.3097628571429;0;0;1;75.3405168571429;51.5518775714286;23.9761908571429;27.5714285714286;;;;;;799;Itaguaí;3302007
2022-07-10;202228;17.0;17;17;17;0.3057466;12.609499;0;2;330200720222819416;2023-02-28;0.0;1.0;134819.0;17.7142857142857;88.0127031428571;0;0;1;70.6383404285714;57.636068;22.8265307142857;25.4285714285714;;;;;;799;Itaguaí;3302007
2022-07-03;202227;16.0;16;16;16;0.100244105;11.8677635;0;4;330200720222719416;2023-02-28;0.0;1.0;134819.0;13.7142857142857;99.11983;0;0;1;63.4722574285714;44.0708321428571;22.904762;26.8571428571429;;;;;;799;Itaguaí;3302007
2022-06-26;202226;21.0;21;21;21;0.09072433;15.57644;0;4;330200720222619416;2023-02-28;1.0;1.0;134819.0;15.4285714285714;96.5318414285714;0;0;2;72.8761441428571;55.5864414285714;21.0646258571429;24.1428571428571;;;;;;799;Itaguaí;3302007
2022-06-19;202225;21.0;21;21;21;0.017599983;15.57644;0;4;330200720222519416;2023-02-28;2.0;1.0;134819.0;15.5714285714286;99.1455371428571;0;0;2;72.9219885714286;53.860434;22.5214285714286;26.7142857142857;;;;;;799;Itaguaí;3302007
2022-06-12;202224;30.0;30;30;30;0.13910912;22.252056;0;4;330200720222419416;2023-02-28;2.0;1.0;134819.0;14.4285714285714;96.470232;0;0;2;75.7598552857143;57.4057752857143;19.6166668571429;22.7142857142857;;;;;;799;Itaguaí;3302007
2022-06-05;202223;41.0;41;41;41;0.5812772;30.411144;0;4;330200720222319416;2023-02-28;0.0;1.0;134819.0;17.4285714285714;94.9977171428571;0;0;2;82.0502752857143;70.1697787142857;20.4761905714286;22.7142857142857;;;;;;799;Itaguaí;3302007
2022-05-29;202222;41.0;41;41;41;0.40195847;30.411144;0;4;330200720222219416;2023-02-28;7.0;1.0;134819.0;17.8571428571429;96.5309462857143;0;0;2;77.090222;62.4606787142857;22.7040811428571;25.7142857142857;;;;;;799;Itaguaí;3302007
2022-05-22;202221;36.0;36;36;36;0.09255288;26.702467;0;4;330200720222119416;2023-02-28;1.0;1.0;134819.0;14.2857142857143;95.6053934285714;0;0;2;62.4565377142857;37.7645034285714;22.8146257142857;27.2857142857143;;;;;;799;Itaguaí;3302007
2022-05-15;202220;38.0;38;38;38;0.17033327;28.185938;0;4;330200720222019416;2023-02-28;0.0;1.0;134819.0;15.0;84.1520192;0;0;2;59.6841792;44.2387512;19.664286;22.8;;;;;;799;Itaguaí;3302007
2022-05-08;202219;61.0;61;61;61;0.9563011;45.24585;0;4;330200720221919416;2023-02-28;2.0;1.0;134819.0;18.0;;0;1;2;;;;;;;;;;799;Itaguaí;3302007
2022-05-01;202218;41.0;41;41;41;0.5842505;30.411144;0;4;330200720221819416;2023-02-28;3.0;1.0;134819.0;21.0;91.28568;0;0;2;66.252688;44.7807738333333;26.3116881666667;30.1666666666667;;;;;;799;Itaguaí;3302007
2022-04-24;202217;46.0;46;46;46;0.96902746;34.11982;0;4;330200720221719416;2023-02-28;1.0;2.0;134819.0;23.1428571428571;86.9462362857143;1;1;2;67.530083;55.356337;26.809524;29.5714285714286;;;;;;799;Itaguaí;3302007
2022-04-17;202216;42.0;42;42;42;0.99939436;31.15288;0;3;330200720221619416;2023-02-28;1.0;2.0;134819.0;21.7142857142857;82.3187008571429;1;1;2;61.7302762857143;49.140405;25.6428571428571;28.4285714285714;;;;;;799;Itaguaí;3302007
2022-04-10;202215;34.0;34;34;34;0.9999767;25.218998;0;3;330200720221519416;2023-02-28;0.0;4.0;134819.0;23.0;83.5581591428571;1;1;2;68.4151727142857;58.1350377142857;25.869048;28.0;;;;;;799;Itaguaí;3302007
2022-04-03;202214;14.0;14;14;14;0.9869371;10.384293;0;2;330200720221419416;2023-02-28;0.0;3.0;134819.0;24.5714285714286;80.6685344285714;1;1;1;69.930257;59.2740755714286;26.7976191428571;28.7142857142857;;;;;;799;Itaguaí;3302007
2022-03-27;202213;5.0;5;5;5;0.7522274;3.708676;0;2;330200720221319416;2023-02-28;0.0;2.0;134819.0;24.7142857142857;85.1601697142857;1;0;0;71.88908;62.8414522857143;27.2472171428571;29.1428571428571;;;;;;799;Itaguaí;3302007
2022-03-20;202212;5.0;5;5;5;0.91005117;3.708676;0;2;330200720221219416;2023-02-28;1.0;3.0;134819.0;24.4285714285714;75.8692578571429;1;0;0;56.7249102857143;45.2897525714286;28.4904762857143;31.4285714285714;;;;;;799;Itaguaí;3302007
2022-03-13;202211;3.0;3;3;3;0.92260253;2.2252057;0;1;330200720221119416;2023-02-28;0.0;4.0;134819.0;27.4285714285714;72.1043534285714;1;0;0;54.3147655714286;40.7203067142857;31.2380951428571;34.7142857142857;;;;;;799;Itaguaí;3302007
2022-03-06;202210;2.0;2;2;2;0.921865;1.4834704;0;1;330200720221019416;2023-02-28;0.0;6.0;134819.0;28.0;64.9051588571429;1;0;0;46.7768518571429;33.8134632857143;32.22619;34.8571428571429;;;;;;799;Itaguaí;3302007
2022-02-27;202209;0.0;0;0;0;0.0;0.0;0;1;330200720220919416;2023-02-28;0.0;0.0;134819.0;27.5714285714286;68.5332382857143;0;0;0;48.7867752857143;36.9713268571429;32.1895604285714;34.4285714285714;;;;;;799;Itaguaí;3302007
2022-02-20;202208;0.0;0;0;0;0.0;0.0;0;1;330200720220819416;2023-02-28;0.0;0.0;134819.0;26.1428571428571;77.621172;0;0;0;64.6820325714286;52.0952847142857;29.1948051428571;31.5714285714286;;;;;;799;Itaguaí;3302007
2022-02-13;202207;1.0;1;1;1;0.8145292;0.7417352;0;1;330200720220719411;2023-02-23;0.0;3.0;134819.0;24.5714285714286;84.5843342857143;1;0;0;68.1870662857143;55.1891422857143;27.6071425714286;30.5714285714286;;;;;;799;Itaguaí;3302007
2022-02-06;202206;0.0;0;0;0;0.0;0.0;0;1;330200720220619402;2023-02-14;1.0;0.0;134819.0;22.7142857142857;91.0714128571429;0;0;0;73.9778235714286;59.4098321428571;26.0833334285714;29.1428571428571;;;;;;799;Itaguaí;3302007
2022-01-30;202205;0.0;0;0;0;0.0;0.0;0;1;330200720220519397;2023-02-09;0.0;0.0;134819.0;23.1428571428571;100.0;0;0;0;85.915462;67.0931087142857;26.0816322857143;30.0;;;;;;799;Itaguaí;3302007
2022-01-23;202204;1.0;1;1;1;0.9632679;0.7417352;0;1;330200720220419384;2023-01-27;1.0;19.0;134819.0;23.8571428571429;91.766472;1;0;0;76.2649014285714;56.5008851428571;27.0773811428571;32.1428571428571;;;;;;799;Itaguaí;3302007
2022-01-16;202203;0.0;0;0;0;0.0;0.0;0;1;330200720220319384;2023-01-27;0.0;0.0;134819.0;23.7142857142857;95.9105564285714;0;0;0;79.9289127142857;55.7710181428571;27.2128851428571;33.0;;;;;;799;Itaguaí;3302007
2022-01-09;202202;0.0;0;0;0;0.0;0.0;0;1;330200720220219375;2023-01-18;1.0;0.0;134819.0;21.4285714285714;98.3342357142857;0;0;0;87.4801578571429;71.1561467142857;24.6488094285714;28.1428571428571;;;;;;799;Itaguaí;3302007
2022-01-02;202201;0.0;0;0;0;0.0;0.0;0;1;330200720220119368;2023-01-11;1.0;0.0;134819.0;23.2857142857143;95.8871742857143;0;0;0;83.1367678571429;65.1381211428571;25.8117671428571;29.8571428571429;;;;;;799;Itaguaí;3302007
