data_iniSE;SE;casos_est;casos_est_min;casos_est_max;casos;p_rt1;p_inc100k;Localidade_id;nivel;id;versao_modelo;tweet;Rt;pop;tempmin;umidmax;receptivo;transmissao;nivel_inc;umidmed;umidmin;tempmed;tempmax;casprov;casprov_est;casprov_est_min;casprov_est_max;casconf;notif_accum_year;Nome_Município;codigo_municipio_completo
2023-02-19;202308;0.0;0;0;0;0.0;0.0;0;1;330285820230819416;2023-02-28;0.0;0.0;176569.0;20.3333333333333;80.13891;0;0;0;66.23381;52.6228053333333;24.8121683333333;28.0;;;;;;27;Mesquita;3302858
2023-02-12;202307;0.0;0;0;0;0.0;0.0;0;1;330285820230719416;2023-02-28;0.0;0.0;176569.0;18.0;94.8810842857143;0;0;0;77.7687985714286;58.8578617142857;22.4897958571429;26.8571428571429;;;;;;27;Mesquita;3302858
2023-02-05;202306;0.0;0;0;0;0.0;0.0;0;1;330285820230619416;2023-02-28;0.0;0.0;176569.0;17.5714285714286;94.8096591428571;0;0;0;75.4049557142857;54.9882711428571;22.578493;27.2857142857143;;;;;;27;Mesquita;3302858
2023-01-29;202305;0.0;0;0;0;0.0;0.0;0;1;330285820230519416;2023-02-28;0.0;0.0;176569.0;18.7142857142857;92.4445894285714;0;0;0;70.6904465714286;53.819809;23.4795915714286;27.2857142857143;;;;;;27;Mesquita;3302858
2023-01-22;202304;1.0;1;1;1;0.9601352;0.5663508;0;1;330285820230419416;2023-02-28;0.0;17.0;176569.0;18.5714285714286;92.3648708571429;0;0;0;78.4277871428571;62.848541;21.8775508571429;25.4285714285714;;;;;;27;Mesquita;3302858
2023-01-15;202303;0.0;0;0;0;0.0;0.0;0;1;330285820230319416;2023-02-28;0.0;0.0;176569.0;19.1428571428571;90.7277957142857;0;0;0;74.0698412857143;60.1522342857143;22.5;25.7142857142857;;;;;;27;Mesquita;3302858
2023-01-08;202302;0.0;0;0;0;0.0;0.0;0;1;330285820230219416;2023-02-28;0.0;0.0;176569.0;18.1428571428571;93.9883434285714;0;0;0;79.1616207142857;63.7427951428571;21.8265304285714;25.1428571428571;;;;;;27;Mesquita;3302858
2023-01-01;202301;0.0;0;0;0;0.0;0.0;0;1;330285820230119416;2023-02-28;0.0;0.0;176569.0;17.1428571428571;93.9698111428571;0;0;0;85.5715384285714;72.3013995714286;19.6173471428571;22.5714285714286;;;;;;27;Mesquita;3302858
2022-12-25;202252;0.0;0;0;0;0.0;0.0;0;1;330285820225219416;2023-02-28;0.0;0.0;176569.0;17.5;94.05007;0;0;0;85.584305;78.53466;19.214286;20.5;;;;;;27;Mesquita;3302858
2022-12-18;202251;1.0;1;1;1;0.66142285;0.5663508;0;1;330285820225119416;2023-02-28;0.0;2.0;176569.0;16.5;96.942272;0;0;0;86.98985;81.306155;18.666667;20.0;;;;;;27;Mesquita;3302858
2022-12-11;202250;2.0;2;2;2;0.90843767;1.1327016;0;1;330285820225019416;2023-02-28;0.0;5.0;176569.0;17.4;89.305874;0;0;0;74.9689182;61.4516974;20.957143;24.4;;;;;;27;Mesquita;3302858
2022-12-04;202249;0.0;0;0;0;0.0;0.0;0;1;330285820224919416;2023-02-28;0.0;0.0;176569.0;18.2857142857143;91.6351045714286;0;0;0;76.6099747142857;63.2680305714286;21.4591834285714;23.8571428571429;;;;;;27;Mesquita;3302858
2022-11-27;202248;0.0;0;0;0;0.0;0.0;0;1;330285820224819416;2023-02-28;0.0;0.0;176569.0;17.1428571428571;93.1418925714286;0;0;0;76.1089287142857;59.3376565714286;21.3061225714286;24.7142857142857;;;;;;27;Mesquita;3302858
2022-11-20;202247;1.0;1;1;1;0.81452835;0.5663508;0;1;330285820224719416;2023-02-28;0.0;3.0;176569.0;16.5714285714286;89.76196;0;0;0;70.6156218571429;56.397243;20.4795921428571;23.7142857142857;;;;;;27;Mesquita;3302858
2022-11-13;202246;1.0;1;1;1;0.9631786;0.5663508;0;1;330285820224619416;2023-02-28;0.0;18.0;176569.0;16.1428571428571;89.8700762857143;0;0;0;71.5001088571429;54.8540971428571;20.8375197142857;24.7142857142857;;;;;;27;Mesquita;3302858
2022-11-06;202245;0.0;0;0;0;0.0;0.0;0;1;330285820224519416;2023-02-28;0.0;0.0;176569.0;15.5714285714286;90.5644614285714;0;0;0;79.4380471428571;67.821753;18.3367348571429;21.1428571428571;;;;;;27;Mesquita;3302858
2022-10-30;202244;0.0;0;0;0;0.0;0.0;0;1;330285820224419416;2023-02-28;0.0;0.0;176569.0;13.8571428571429;93.7479962857143;0;0;0;78.911958;65.3909965714286;17.2251984285714;20.2857142857143;;;;;;27;Mesquita;3302858
2022-10-23;202243;0.0;0;0;0;0.0;0.0;0;1;330285820224319416;2023-02-28;0.0;0.0;176569.0;16.7142857142857;88.9829422857143;0;0;0;68.5768937142857;47.9639464285714;21.7959184285714;26.5714285714286;;;;;;27;Mesquita;3302858
2022-10-16;202242;0.0;0;0;0;0.0;0.0;0;1;330285820224219416;2023-02-28;0.0;0.0;176569.0;16.8571428571429;88.2206042857143;0;0;0;67.526532;53.6072331428571;21.1907378571429;23.8571428571429;;;;;;27;Mesquita;3302858
2022-10-09;202241;0.0;0;0;0;0.0;0.0;0;1;330285820224119416;2023-02-28;0.0;0.0;176569.0;18.4285714285714;84.5149662857143;0;0;0;57.7466854285714;42.0609551428571;23.5306125714286;26.7142857142857;;;;;;27;Mesquita;3302858
2022-10-02;202240;1.0;1;1;1;0.554064;0.5663508;0;1;330285820224019416;2023-02-28;0.0;1.0;176569.0;16.5714285714286;93.9047642857143;0;0;0;79.3708697142857;66.2756365714286;20.0108044285714;23.0;;;;;;27;Mesquita;3302858
2022-09-25;202239;0.0;0;0;0;0.0;0.0;0;1;330285820223919416;2023-02-28;0.0;0.0;176569.0;14.7142857142857;95.6190985714286;0;0;0;82.748675;70.9337988571429;17.92517;20.4285714285714;;;;;;27;Mesquita;3302858
