data_iniSE;SE;casos_est;casos_est_min;casos_est_max;casos;p_rt1;p_inc100k;Localidade_id;nivel;id;versao_modelo;tweet;Rt;pop;tempmin;umidmax;receptivo;transmissao;nivel_inc;umidmed;umidmin;tempmed;tempmax;casprov;casprov_est;casprov_est_min;casprov_est_max;casconf;notif_accum_year;Nome_Município;codigo_municipio_completo
2023-02-19;202308;0.0;0;0;0;0.0;0.0;0;4;330380720230819416;2023-02-28;0.0;0.0;43680.0;21.0;100.0;0;0;0;76.8683671428572;56.495453;26.6923077142857;30.5714285714286;;;;;;958;Paraty;3303807
2023-02-12;202307;47.0;47;47;47;0.14436649;107.60073;0;4;330380720230719416;2023-02-28;0.0;1.0;43680.0;21.35;100.0;1;0;2;76.6196073;56.5550682;26.83853665;31.4;;;;;;958;Paraty;3303807
2023-02-05;202306;79.0;79;79;79;0.99633557;180.86081;0;4;330380720230619416;2023-02-28;0.0;2.0;43680.0;20.4285714285714;100.0;1;1;2;82.0833157142857;60.4643231428571;25.4301411428571;30.1428571428571;;;;;;958;Paraty;3303807
2023-01-29;202305;50.0;50;50;50;0.9187132;114.468864;0;4;330380720230519416;2023-02-28;0.0;1.0;43680.0;20.5714285714286;100.0;1;0;2;79.388703;55.6482301428571;25.9540815714286;30.7142857142857;;;;;;958;Paraty;3303807
2023-01-22;202304;60.0;60;60;60;0.99950886;137.36264;0;4;330380720230419416;2023-02-28;0.0;2.0;43680.0;19.7142857142857;100.0;1;1;2;72.8050021428571;50.6341298571429;26.4081632857143;31.4285714285714;;;;;;958;Paraty;3303807
2023-01-15;202303;29.0;29;29;29;0.74194854;66.391945;0;4;330380720230319416;2023-02-28;0.0;1.0;43680.0;20.4285714285714;100.0;1;0;2;76.5481482857143;53.5907672857143;26.3367347142857;31.5714285714286;;;;;;958;Paraty;3303807
2023-01-08;202302;27.0;27;27;27;0.9439286;61.813187;0;3;330380720230219416;2023-02-28;0.0;2.0;43680.0;19.8571428571429;100.0;1;0;2;81.3240441428571;61.554995;24.7346937142857;28.4285714285714;;;;;;958;Paraty;3303807
2023-01-01;202301;31.0;31;31;31;0.9998336;70.970695;0;3;330380720230119416;2023-02-28;0.0;3.0;43680.0;18.8571428571429;98.3597585714286;0;1;2;86.5923537142857;73.8771745714286;22.744898;25.5714285714286;;;;;;958;Paraty;3303807
2022-12-25;202252;14.0;14;14;14;0.9884654;32.05128;0;3;330380720225219416;2023-02-28;0.0;3.0;43680.0;20.3333333333333;100.0;1;1;1;91.0624066666667;83.9196;22.6190476666667;24.3333333333333;;;;;;958;Paraty;3303807
2022-12-18;202251;8.0;8;8;8;0.9548914;18.315018;0;1;330380720225119416;2023-02-28;0.0;3.0;43680.0;19.5;96.987255;1;1;1;82.44815;74.9837085;22.5178575;24.5;;;;;;958;Paraty;3303807
2022-12-11;202250;3.0;3;3;3;0.46207634;6.8681316;0;1;330380720225019416;2023-02-28;0.0;1.0;43680.0;18.8333333333333;98.0023066666667;0;0;0;77.4627125;61.559047;23.9047618333333;27.8333333333333;;;;;;958;Paraty;3303807
2022-12-04;202249;3.0;3;3;3;0.13022351;6.8681316;0;1;330380720224919416;2023-02-28;0.0;0.0;43680.0;20.2857142857143;100.0;1;0;0;77.8261457142857;58.2116807142857;25.0714284285714;28.8571428571429;;;;;;958;Paraty;3303807
2022-11-27;202248;0.0;0;0;0;0.0;0.0;0;1;330380720224819416;2023-02-28;0.0;0.0;43680.0;18.8571428571429;99.1517885714286;0;0;0;79.7171122857143;62.2386774285714;23.7755105714286;27.8571428571429;;;;;;958;Paraty;3303807
2022-11-20;202247;7.0;7;7;7;0.16299504;16.02564;0;1;330380720224719416;2023-02-28;0.0;1.0;43680.0;18.4285714285714;98.30002;0;0;1;72.456695;48.9800148571429;24.1785715714286;28.8571428571429;;;;;;958;Paraty;3303807
2022-11-13;202246;11.0;11;11;11;0.5021519;25.18315;0;1;330380720224619416;2023-02-28;0.0;1.0;43680.0;17.7142857142857;96.6492622857143;0;0;1;74.1598891428571;55.9496931428571;23.1632652857143;27.1428571428571;;;;;;958;Paraty;3303807
2022-11-06;202245;10.0;10;10;10;0.6535922;22.893772;0;1;330380720224519416;2023-02-28;0.0;1.0;43680.0;17.0;100.0;0;0;1;77.5391045714286;62.5163687142857;21.6081635714286;24.8571428571429;;;;;;958;Paraty;3303807
