data_iniSE;SE;casos_est;casos_est_min;casos_est_max;casos;p_rt1;p_inc100k;Localidade_id;nivel;id;versao_modelo;tweet;Rt;pop;tempmin;umidmax;receptivo;transmissao;nivel_inc;umidmed;umidmin;tempmed;tempmax;casprov;casprov_est;casprov_est_min;casprov_est_max;casconf;notif_accum_year;Nome_Município;codigo_municipio_completo
2023-02-19;202308;0.0;0;0;0;0.0;0.0;0;1;330430020230819416;2023-02-28;0.0;0.0;60573.0;25.0;92.3678316666667;0;0;0;84.9986566666667;78.750811;26.277778;27.6666666666667;;;;;;20;Rio Bonito;3304300
2023-02-12;202307;0.0;0;0;0;0.0;0.0;0;1;330430020230719416;2023-02-28;0.0;0.0;60573.0;24.7272727272727;90.5049877272727;0;0;0;87.3057804545455;83.4030548181818;25.2727272727273;25.6363636363636;;;;;;20;Rio Bonito;3304300
2023-02-05;202306;0.0;0;0;0;0.0;0.0;0;1;330430020230619416;2023-02-28;0.0;0.0;60573.0;25.4285714285714;85.5379141428571;0;0;0;85.0508455714286;84.8073121428571;25.5238094285714;25.5714285714286;;;;;;20;Rio Bonito;3304300
2023-01-29;202305;0.0;0;0;0;0.0;0.0;0;1;330430020230519416;2023-02-28;0.0;0.0;60573.0;26.8571428571429;80.1768108571429;0;0;0;76.301655;69.8557285714286;27.4642857142857;28.7142857142857;;;;;;20;Rio Bonito;3304300
2023-01-22;202304;1.0;1;1;1;0.89380103;1.6509006;0;1;330430020230419416;2023-02-28;0.0;6.0;60573.0;25.4285714285714;81.6988131428571;1;0;0;81.6988131428571;81.6988131428571;25.4285714285714;25.4285714285714;;;;;;20;Rio Bonito;3304300
2023-01-15;202303;0.0;0;0;0;0.0;0.0;0;1;330430020230319416;2023-02-28;0.0;0.0;60573.0;26.2857142857143;81.034222;0;0;0;81.0223205714286;81.0104205714286;26.3571428571429;26.4285714285714;;;;;;20;Rio Bonito;3304300
2023-01-08;202302;0.0;0;0;0;0.0;0.0;0;1;330430020230219416;2023-02-28;0.0;0.0;60573.0;23.2857142857143;94.620866;0;0;0;86.159028;75.7443578571429;24.5737577142857;26.8571428571429;;;;;;20;Rio Bonito;3304300
2023-01-01;202301;0.0;0;0;0;0.0;0.0;0;1;330430020230119416;2023-02-28;0.0;0.0;60573.0;22.8571428571429;92.7905417142857;0;0;0;82.8721271428571;67.650943;24.6058485714286;27.1428571428571;;;;;;20;Rio Bonito;3304300
2022-12-25;202252;2.0;2;2;2;0.92080367;3.3018012;0;1;330430020225219416;2023-02-28;0.0;6.0;60573.0;22.3333333333333;92.27017;0;0;0;84.5420333333333;75.757112;24.4295453333333;26.6666666666667;;;;;;20;Rio Bonito;3304300
2022-12-18;202251;0.0;0;0;0;0.0;0.0;0;1;330430020225119416;2023-02-28;0.0;0.0;60573.0;22.5;94.259155;0;0;0;86.296753;78.2816325;23.4839745;25.0;;;;;;20;Rio Bonito;3304300
2022-12-11;202250;0.0;0;0;0;0.0;0.0;0;1;330430020225019416;2023-02-28;0.0;0.0;60573.0;22.5;94.36923;0;0;0;80.6123348333333;63.0140733333333;24.7546618333333;27.8333333333333;;;;;;20;Rio Bonito;3304300
2022-12-04;202249;1.0;1;1;1;0.72601324;1.6509006;0;1;330430020224919416;2023-02-28;0.0;2.0;60573.0;22.5714285714286;92.74201;0;0;0;81.98248;68.1808748571429;24.7876984285714;27.4285714285714;;;;;;20;Rio Bonito;3304300
2022-11-27;202248;0.0;0;0;0;0.0;0.0;0;1;330430020224819416;2023-02-28;0.0;0.0;60573.0;23.4285714285714;91.0658585714286;0;0;0;82.8343048571429;72.61392;25.1138714285714;28.2857142857143;;;;;;20;Rio Bonito;3304300
2022-11-20;202247;1.0;1;1;1;0.66142213;1.6509006;0;1;330430020224719416;2023-02-28;0.0;2.0;60573.0;22.4285714285714;85.7149131428571;0;0;0;76.3978351428571;65.9104605714286;24.3630951428571;26.8571428571429;;;;;;20;Rio Bonito;3304300
2022-11-13;202246;0.0;0;0;0;0.0;0.0;0;1;330430020224619416;2023-02-28;0.0;0.0;60573.0;23.0;83.0322428571428;0;0;0;74.3155237142857;63.8547778571429;24.5694051428571;26.7142857142857;;;;;;20;Rio Bonito;3304300
2022-11-06;202245;0.0;0;0;0;0.0;0.0;0;1;330430020224519416;2023-02-28;0.0;0.0;60573.0;20.4285714285714;89.4829557142857;0;0;0;80.5760242857143;69.9146818571429;22.2932128571429;24.4285714285714;;;;;;20;Rio Bonito;3304300
2022-10-30;202244;2.0;2;2;2;0.80330867;3.3018012;0;1;330430020224419416;2023-02-28;0.0;2.0;60573.0;19.7142857142857;90.8497042857143;0;0;0;78.0520235714286;60.4729618571429;22.5667294285714;26.0;;;;;;20;Rio Bonito;3304300
2022-10-23;202243;1.0;1;1;1;0.6886934;1.6509006;0;1;330430020224319416;2023-02-28;0.0;2.0;60573.0;22.2857142857143;90.8715414285714;0;0;0;78.9496921428571;67.3718194285714;24.4194442857143;26.8571428571429;;;;;;20;Rio Bonito;3304300
2022-10-16;202242;1.0;1;1;1;0.72831523;1.6509006;0;1;330430020224219416;2023-02-28;0.0;2.0;60573.0;22.4285714285714;90.9557651428571;0;0;0;79.1593392857143;63.5124597142857;24.5841467142857;27.8571428571429;;;;;;20;Rio Bonito;3304300
