data_iniSE;SE;casos_est;casos_est_min;casos_est_max;casos;p_rt1;p_inc100k;Localidade_id;nivel;id;versao_modelo;tweet;Rt;pop;tempmin;umidmax;receptivo;transmissao;nivel_inc;umidmed;umidmin;tempmed;tempmax;casprov;casprov_est;casprov_est_min;casprov_est_max;casconf;notif_accum_year;Nome_Município;codigo_municipio_completo
2023-02-19;202308;0.0;0;0;0;0.0;0.0;0;1;330610720230819416;2023-02-28;0.0;0.0;76869.0;15.7848038533854;;0;0;0;;;;;;;;;;160;Valença;3306107
2023-02-12;202307;0.0;0;0;0;0.0;0.0;0;1;330610720230719416;2023-02-28;0.0;0.0;76869.0;15.8585213927415;;0;0;0;;;;;;;;;;160;Valença;3306107
2023-02-05;202306;1.0;1;1;1;0.42548013;1.3009145;0;1;330610720230619416;2023-02-28;0.0;1.0;76869.0;15.9407705818318;;0;0;0;;;;;;;;;;160;Valença;3306107
2023-01-29;202305;2.0;2;2;2;0.75246555;2.601829;0;1;330610720230519416;2023-02-28;0.0;2.0;76869.0;16.0328017980242;;0;0;0;;;;;;;;;;160;Valença;3306107
2023-01-22;202304;1.0;1;1;1;0.6177498;1.3009145;0;1;330610720230419416;2023-02-28;0.0;1.0;76869.0;16.1360486708837;;0;0;0;;;;;;;;;;160;Valença;3306107
2023-01-15;202303;1.0;1;1;1;0.81445366;1.3009145;0;1;330610720230319416;2023-02-28;0.0;3.0;76869.0;16.2521549391593;;0;0;0;;;;;;;;;;160;Valença;3306107
2023-01-08;202302;1.0;1;1;1;0.9603134;1.3009145;0;1;330610720230219416;2023-02-28;0.0;17.0;76869.0;16.3830052438631;;0;0;0;;;;;;;;;;160;Valença;3306107
2023-01-01;202301;0.0;0;0;0;0.0;0.0;0;1;330610720230119416;2023-02-28;0.0;0.0;76869.0;16.530760434307;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-12-25;202252;0.0;0;0;0;0.0;0.0;0;1;330610720225219416;2023-02-28;0.0;0.0;76869.0;16.6978980485042;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-12-18;202251;0.0;0;0;0;0.0;0.0;0;1;330610720225119416;2023-02-28;0.0;0.0;76869.0;16.887258726278;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-12-11;202250;0.0;0;0;0;0.0;0.0;0;1;330610720225019416;2023-02-28;0.0;0.0;76869.0;17.1020994245594;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-12-04;202249;1.0;1;1;1;0.7534713;1.3009145;0;1;330610720224919416;2023-02-28;0.0;2.0;76869.0;17.3461544317879;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-11-27;202248;0.0;0;0;0;0.0;0.0;0;1;330610720224819416;2023-02-28;0.0;0.0;76869.0;17.6237053244294;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-11-20;202247;0.0;0;0;0;0.0;0.0;0;1;330610720224719416;2023-02-28;0.0;0.0;76869.0;17.9396611761493;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-11-13;202246;1.0;1;1;1;0.5223622;1.3009145;0;1;330610720224619416;2023-02-28;0.0;1.0;76869.0;18.2996505222406;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-11-06;202245;2.0;2;2;2;0.9218316;2.601829;0;1;330610720224519416;2023-02-28;0.0;6.0;76869.0;18.7101268021315;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-10-30;202244;1.0;1;1;1;0.9572781;1.3009145;0;1;330610720224419416;2023-02-28;0.0;16.0;76869.0;19.1784892552835;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-10-23;202243;0.0;0;0;0;0.0;0.0;0;1;330610720224319416;2023-02-28;0.0;0.0;76869.0;19.7132215352926;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-10-16;202242;0.0;0;0;0;0.0;0.0;0;1;330610720224219416;2023-02-28;0.0;0.0;76869.0;23.0;60.702423;0;0;0;52.263676;44.281815;24.166666;25.0;;;;;;160;Valença;3306107
2022-10-09;202241;0.0;0;0;0;0.0;0.0;0;1;330610720224119416;2023-02-28;0.0;0.0;76869.0;22.1111111111111;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-10-02;202240;0.0;0;0;0;0.0;0.0;0;1;330610720224019416;2023-02-28;0.0;0.0;76869.0;21.2222222222222;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-09-25;202239;2.0;2;2;2;0.75246555;2.601829;0;1;330610720223919416;2023-02-28;0.0;2.0;76869.0;20.3333333333333;;1;0;0;;;;;;;;;;160;Valença;3306107
2022-09-18;202238;1.0;1;1;1;0.61774915;1.3009145;0;1;330610720223819416;2023-02-28;0.0;1.0;76869.0;19.4444444444444;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-09-11;202237;1.0;1;1;1;0.8143764;1.3009145;0;1;330610720223719416;2023-02-28;0.0;3.0;76869.0;18.5555555555556;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-09-04;202236;1.0;1;1;1;0.9571883;1.3009145;0;1;330610720223619416;2023-02-28;0.0;16.0;76869.0;17.6666666666667;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-08-28;202235;0.0;0;0;0;0.0;0.0;0;1;330610720223519416;2023-02-28;0.0;0.0;76869.0;16.7777777777778;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-08-21;202234;0.0;0;0;0;0.0;0.0;0;1;330610720223419416;2023-02-28;0.0;0.0;76869.0;15.8888888888889;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-08-14;202233;0.0;0;0;0;0.0;0.0;0;1;330610720223319416;2023-02-28;0.0;0.0;76869.0;15.0;76.99858;0;0;0;56.64369;41.72805;21.142857;26.0;;;;;;160;Valença;3306107
2022-08-07;202232;0.0;0;0;0;0.0;0.0;0;1;330610720223219416;2023-02-28;0.0;0.0;76869.0;15.015503875969;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-07-31;202231;2.0;2;2;2;0.61805546;2.601829;0;1;330610720223119416;2023-02-28;0.0;1.0;76869.0;15.031007751938;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-07-24;202230;2.0;2;2;2;0.7113818;2.601829;0;1;330610720223019416;2023-02-28;0.0;2.0;76869.0;15.046511627907;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-07-17;202229;2.0;2;2;2;0.66166544;2.601829;0;1;330610720222919416;2023-02-28;0.0;2.0;76869.0;15.062015503876;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-07-10;202228;0.0;0;0;0;0.0;0.0;0;1;330610720222819416;2023-02-28;0.0;0.0;76869.0;15.077519379845;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-07-03;202227;2.0;2;2;2;0.32159021;2.601829;0;1;330610720222719416;2023-02-28;0.0;1.0;76869.0;15.093023255814;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-06-26;202226;1.0;1;1;1;0.071650915;1.3009145;0;1;330610720222619416;2023-02-28;0.0;0.0;76869.0;15.1085271317829;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-06-19;202225;3.0;3;3;3;0.31678066;3.9027436;0;1;330610720222519416;2023-02-28;0.0;1.0;76869.0;15.1240310077519;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-06-12;202224;5.0;5;5;5;0.46005198;6.504573;0;1;330610720222419416;2023-02-28;0.0;1.0;76869.0;15.1395348837209;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-06-05;202223;3.0;3;3;3;0.06574948;3.9027436;0;1;330610720222319416;2023-02-28;0.0;0.0;76869.0;15.1550387596899;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-05-29;202222;5.0;5;5;5;0.06282467;6.504573;0;1;330610720222219416;2023-02-28;0.0;0.0;76869.0;15.1705426356589;;0;0;0;;;;;;;;;;160;Valença;3306107
2022-05-22;202221;7.0;7;7;7;0.115060665;9.106401;0;1;330610720222119416;2023-02-28;0.0;1.0;76869.0;15.1860465116279;;0;0;1;;;;;;;;;;160;Valença;3306107
2022-05-15;202220;10.0;10;10;10;0.5365439;13.009146;0;1;330610720222019416;2023-02-28;0.0;1.0;76869.0;15.2015503875969;;0;0;1;;;;;;;;;;160;Valença;3306107
2022-05-08;202219;19.0;19;19;19;0.9907644;24.717377;0;1;330610720221919416;2023-02-28;0.0;3.0;76869.0;15.2170542635659;;0;1;1;;;;;;;;;;160;Valença;3306107
2022-05-01;202218;5.0;5;5;5;0.38786632;6.504573;0;1;330610720221819416;2023-02-28;0.0;1.0;76869.0;15.2325581395349;;0;0;0;;;;;;;;;;160;Valença;3306107
