IdArbitragem;NomArbitro;TpoArbitro;NomPaisOrigem;DthInclusao;DthAlteracao
1;Al Jassim Abdulrahman;Árbitro;Catar;2022-12-19 08:15:14.983;2022-12-19 08:15:14.983
2;Alberto Morín;Assistente;México;2022-12-19 08:15:14.983;2022-12-19 08:15:14.983
3;Alessandro Giallatini;Assistente;Itália;2022-12-19 08:15:14.983;2022-12-19 08:15:14.983
4;Alireza Faghani;Árbitro;Irã;2022-12-19 08:15:14.983;2022-12-19 08:15:14.983
5;Andraz Kovacic;Assistente;Eslovênia;2022-12-19 08:15:14.983;2022-12-19 08:15:14.983
6;Andrés Matonte;Quarto Árbitro;Uruguai;2022-12-19 08:15:14.983;2022-12-19 08:15:14.983
7;Anton Schetinin;Assistente;Austrália;2022-12-19 08:15:14.983;2022-12-19 08:15:14.983
8;Arsenio Maringule;Assistente;Moçambique;2022-12-19 08:15:14.987;2022-12-19 08:15:14.987
9;Ashley Beecham;Assistente;Austrália;2022-12-19 08:15:14.987;2022-12-19 08:15:14.987
10;Bruno Boschilia;Assistente;BRASIL;2022-12-19 08:15:14.987;2022-12-19 08:15:14.987
11;Bruno Raphael Pires;Assistente;BRASIL;2022-12-19 08:15:14.987;2022-12-19 08:15:14.987
12;César Ramos;Árbitro;México;2022-12-19 08:15:14.987;2022-12-19 08:15:14.987
13;Chris Beath;Árbitro;Austrália;2022-12-19 08:15:14.987;2022-12-19 08:15:14.987
14;Ciro Carbone;Assistente;Itália;2022-12-19 08:15:14.987;2022-12-19 08:15:14.987
15;Clément Turpin;Árbitro;França;2022-12-19 08:15:14.987;2022-12-19 08:15:14.987
16;Corey Parker;Assistente;Eua;2022-12-19 08:15:14.987;2022-12-19 08:15:14.987
17;Cyril Gringore;Assistente;França;2022-12-19 08:15:14.987;2022-12-19 08:15:14.987
18;Daniele Orsato;Árbitro;Itália;2022-12-19 08:15:14.987;2022-12-19 08:15:14.987
19;Danilo Ricardo Simon Manis;Assistente;BRASIL;2022-12-19 08:15:14.987;2022-12-19 08:15:14.987
20;David Jonathan Morán Santos;Assistente;El Savador;2022-12-19 08:15:14.987;2022-12-19 08:15:14.987
21;Diego Bonfa;Assistente;Argentina;2022-12-19 08:15:14.987;2022-12-19 08:15:14.987
22;Estádio 974;Assistente;NI;2022-12-19 08:15:14.987;2022-12-19 08:15:14.987
23;Ezequiel Brailosvky;Assistente;Argentina;2022-12-19 08:15:14.987;2022-12-19 08:15:14.987
24;Facundo Tello;Árbitro;Argentina;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
25;Fernando Rapallini;Árbitro;Argentina;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
26;Gabriel Chade;Assistente;Argentina;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
27;Hasan al-Mahri;Assistente;Emirados ÁRabes Unidos;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
28;Héctor Said Martínez Sorto;Quarto Árbitro;Honduras;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
29;Ismail Elfath;Árbitro;EUA;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
30;Istvan Kovacs;Quarto Árbitro;Romênia;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
31;Ivan Arcides Barton Cisneros;Árbitro;El Salvador;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
32;Janny Sikazwe;Árbitro;Zambia;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
33;Jerson Emiliano;Assistente;Angola;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
34;Juan Pablo Belatti;Assistente;Argentina;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
35;Kevin Ortega;Quarto Árbitro;Peru;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
36;Kyle Atkins;Assistente;Eua;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
37;Ma Ning;Quarto Árbitro;China;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
38;Maguette Ndiaye;Quarto Árbitro;Senegal;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
39;Miguel Ángel Hernández;Assistente;México;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
40;Mohammadreza Abolfazli;Assistente;Irã;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
41;Mohammadreza Mansouri;Assistente;Irã;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
42;Mohammed Abdulla Hassan;Árbitro;Emirados Árabes Unidos;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
43;Nicolas Danos;Assistente;França;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
44;Raphael Claus;Árbitro;BRASIL;2022-12-19 08:15:14.990;2022-12-19 08:15:14.990
45;Rodrigo Figueiredo Henrique Correa;Assistente;BRASIL;2022-12-19 08:15:14.993;2022-12-19 08:15:14.993
46;Saíd Martínez;Quarto Árbitro;Honduras;2022-12-19 08:15:14.993;2022-12-19 08:15:14.993
47;Salima Mukansanga;Quarto Árbitro;Ruanda;2022-12-19 08:15:14.993;2022-12-19 08:15:14.993
48;Saoud Ahmed Almaqaleh;Assistente;Catar;2022-12-19 08:15:14.993;2022-12-19 08:15:14.993
49;Slavko Vincic;Árbitro;Eslovênia;2022-12-19 08:15:14.993;2022-12-19 08:15:14.993
50;Souru Phatsoane;Assistente;Lesoto;2022-12-19 08:15:14.993;2022-12-19 08:15:14.993
51;Stéphanie Frappart;Quarto Árbitro;França;2022-12-19 08:15:14.993;2022-12-19 08:15:14.993
52;Sultan Mohamed Al Hammadi;Assistente;Emirados ÁRabes Unidos;2022-12-19 08:15:14.993;2022-12-19 08:15:14.993
53;Taleb Al Marri;Assistente;Catar;2022-12-19 08:15:14.993;2022-12-19 08:15:14.993
54;Tomaz Klancnik;Assistente;Eslovênia;2022-12-19 08:15:14.993;2022-12-19 08:15:14.993
55;Victor Gomes;Árbitro;África Do Sul;2022-12-19 08:15:14.993;2022-12-19 08:15:14.993
56;Wilton Pereira Sampaio;Árbitro;BRASIL;2022-12-19 08:15:14.997;2022-12-19 08:15:14.997
57;Yoshimi Yamashita;Quarto Árbitro;Japão;2022-12-19 08:15:14.997;2022-12-19 08:15:14.997
58;Zachari Zeegelaar;Assistente;Suriname;2022-12-19 08:15:14.997;2022-12-19 08:15:14.997
59;Zakhele Siwela;Assistente;África Do Sul;2022-12-19 08:15:14.997;2022-12-19 08:15:14.997
60;Mario Escobar;Árbitro;Guatemala;2022-12-19 08:15:14.997;2022-12-19 08:15:14.997
61;Caleb Wales;Assistente;Trinidad E Tobago;2022-12-19 08:15:14.997;2022-12-19 08:15:14.997
62;Juan Mora;Assistente;Costa Rica;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
63;Maguette Ndiaye;Quarto Árbitro;Senegal;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
64;Mateu Lahoz;Árbitro ;Espanha;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
65;Pau Devis;Assistente;Espanha;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
66;Roberto Díaz Pérez del Palomar;Assistente;Espanha;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
67;Mustapha Ghorbal;Árbitro;Argélia;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
68;Mokrane Gourari;Assistente;Argélia;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
69;Abdelhak Etchiali;Assistente;Argélia;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
70;Jesús Valenzuela;Árbitro;Venezuela;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
71;Jorge Urrego Martínez;Assistente;Venezuela;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
72;Tulio Moreno;Assistente;Venezuela;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
73;Daniel Siebert;Árbitro;Alemanha;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
74;Rafael Foltyn;Assistente;Alemanha;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
75;Jan Seidel;Assistente;Alemanha;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
76;Szymon Marciniak;Árbitro;Polônia;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
77;Pawel Sokolnicki;Assistente ;Polônia;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
78;Tomasz Listkiewicz;Assistente;Polônia;2022-12-19 08:15:15.000;2022-12-19 08:15:15.000
