Empresa;CodClasseImobilizado;CodImobilizadoImobilizado;CodSBN;DescricaoImobilizado;CodigoDenominacaoImobilizado;CodClienteRecebMercadoria;LocalInstalacao;TextoImobilizado;DtIncorporacao;Qtd;UnidadeMedida0;UnidadeMedida1;QtdRetroativa;UnidadeMedida2;NumeroInventario;NumeroSerieChassi;CentroCusto;NomCetro;CodigoCentro;CodigoEspecie;DescricaoEspecie;OrdemInvestimento;ElementoPEP;DtDesativacao;ImobilizadoOrigem;SubNumeroIEA;ValorArquisicaoAtual;CodigoMoeda;ValorDepreciacaoAtual;CodigoMoeda1;ValorContabilAtual;CodigoMoeda2
1001;2300;230000000288;0;VASILHAMES P20;001-132211-109932-0;0000000000;;VASILHAMES P20;31.12.2006;57,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;20.539,89;BRL;20.539,89-;BRL;0,00;BRL
1001;2300;230000000338;0;VASILHAMES P20;001-132211-113083-0;0000000000;;VASILHAMES P20;27.12.2006;69,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;16.325,05;BRL;16.325,05-;BRL;0,00;BRL
1001;2300;230000000424;0;VASILHAMES P20;001-132211-116215-0;0000000000;;VASILHAMES P20;05.12.2006;4,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;1.341,12;BRL;1.341,12-;BRL;0,00;BRL
1001;2300;230000000446;0;VASILHAMES P20 PIT STOP;001-132211-116505-0;0000000000;;VASILHAMES P20 PIT STOP;30.11.2006;40,000;UN;UN;0,000;UN;;;1021228;1021;Adm Central MD;1100;BOTIJÃO P20 - KIT PIT STOP;;;00.00.0000;;;810,60;BRL;810,60-;BRL;0,00;BRL
1001;2300;230000000469;0;VASILHAMES P20;001-132211-117043-0;0000000000;;VASILHAMES P20;12.12.2006;5,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;1.774,92;BRL;1.774,92-;BRL;0,00;BRL
1001;2300;230000000470;0;VASILHAMES P20;001-132211-117052-0;0000000000;;VASILHAMES P20;18.12.2006;6,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;2.028,05;BRL;2.028,05-;BRL;0,00;BRL
1001;2300;230000000475;0;VASILHAMES P20;001-132211-117250-0;0000000000;;VASILHAMES P20;05.12.2006;4,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;1.415,78;BRL;1.415,78-;BRL;0,00;BRL
1001;2300;230000000478;0;VASILHAMES P20;001-132211-117471-0;0000000000;;VASILHAMES P20;21.12.2006;52,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;68.993,10;BRL;68.993,10-;BRL;0,00;BRL
1001;2300;230000000481;0;VASILHAMES P20;001-132211-117785-0;0000000000;;VASILHAMES P20;11.06.2007;200,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;81.848,80;BRL;81.848,80-;BRL;0,00;BRL
1001;2300;230000000499;0;VASILHAMES P20 PIT STOP;001-132211-119854-0;0000000000;;VASILHAMES P20 PIT STOP;23.04.2007;20,000;UN;UN;0,000;UN;;;1021228;1021;Adm Central MD;1100;BOTIJÃO P20 - KIT PIT STOP;;;00.00.0000;;;8.204,88;BRL;8.204,88-;BRL;0,00;BRL
1001;2300;230000000535;0;VASILHAMES P20;001-132211-121369-0;0000000000;;VASILHAMES P20;31.05.2007;33,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;14.116,83;BRL;14.116,83-;BRL;0,00;BRL
1001;2300;230000000541;0;VASILHAMES P20;001-132211-122468-0;0000000000;;VASILHAMES P20;05.06.2007;19,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;3.167,92;BRL;3.167,92-;BRL;0,00;BRL
1001;2300;230000000561;0;VASILHAMES P20;001-132211-122592-0;0000000000;;VASILHAMES P20;01.06.2007;115,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;47.916,34;BRL;47.916,34-;BRL;0,00;BRL
1001;2300;230000000563;0;VASILHAMES P20;001-132211-122595-0;0000000000;;VASILHAMES P20;04.06.2007;222,000;UN;UN;0,000;UN;;;1021130;1021;Adm Central MD;1020;BOTIJÃO P20;;;00.00.0000;;;92.499,41;BRL;92.499,41-;BRL;0,00;BRL
