---------------------------
|Estatíst.dados    |Número|
|-------------------------|
|Registros transfs.|   854|
---------------------------
14.04.2022                                                                                                                                                                                                                                              Relatório de ativo imobilizado                                                                                                                                                                                                                                                  2
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Relatório de ativo imobilizado
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Empr|Classe|Imobilizado |Sbnº|Denominação do imobilizado                        |Denominação do imobilizado                |Recebedor de Mercadorias|Local de instalação|Texto nºprinc.imob.                               |Dt.incorp.|Quantidade|UMB|UMB|Quantidade Retroativa|UMB|Nº inventário    |Nº série/Chassi   |Centro cst|Cen.|Centro                  |Espécie|Espécie                      |Ordem de investimento|Elemento PEP|Dta.desat.|Imob.origem |SubnºIeA|Val.aquis.atual|Moeda|  Depr.atual|Moeda|Val.cont.atual|Moeda|
|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|1001|2200  |220000000069|0   |REBOQUE RIO PRETO REBOQUE MOTO ANO 2004           |001-132191-109493-0                       |              0000000000|                   |REBOQUE RIO PRETO REBOQUE MOTO ANO 2004           |05.06.2006|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9A9RG020141AM8013 |1121340   |1121|Caxias                  |101    |VEICULOS/MOTOCICLETA/TRICICLO|                     |            |00.00.0000|            |        |      4.060,40 |BRL  |   4.060,40-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000257|0   |CAMINHAO TRUCK BOB-TAIL VW 24250                  |001-132191-147717-0                       |              0000000000|                   |CAMINHAO TRUCK BOB-TAIL VW 24250                  |04.04.2010|    1,000 |UN |UN |               0,000 |UN |PGG4549          |9534N8240CR224950 |1073380   |1073|Jequié                  |103    |CAMINHAO TANQUE              |                     |            |00.00.0000|220000001833|0       |    183.746,68 |BRL  | 183.746,68-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000349|0   |CARRETA REBOQUE (CARRETINHA)                      |001-132191-176470-0                       |              0000000000|                   |CARRETA REBOQUE (CARRETINHA)                      |08.05.2015|    1,000 |UN |UN |               0,000 |UN |LMH6062          |9A9REBD02F1EH4377 |1121520   |1121|Caxias                  |105    |CARROCERIA/REBOQUE CAMINHAO  |                     |            |00.00.0000|            |        |      4.083,33 |BRL  |   3.468,63-|BRL  |       614,70 |BRL  |
|1001|2200  |220000000361|0   |CAMINHAO TOCO ENVASADO VW 15190 ANO 2014          |001-132191-184877-0                       |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |02.07.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7232ER443635 |1032340   |1032|Juiz De Fora            |102    |CAMINHAO CARGA               |                     |            |00.00.0000|220000000454|0       |    144.716,94 |BRL  | 144.716,94-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000361|1   |Plataformas Elevatórias Envasado- 2019            |700000005242                              |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |29.02.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1032340   |1032|Juiz De Fora            |102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036679|0       |     21.330,00 |BRL  |   4.205,98-|BRL  |    17.124,02 |BRL  |
|1001|2200  |220000000444|0   |CAMINHAO TOCO ENVASADO VW 15190 ANO 2014          |001-132191-190088-0                       |              0000000000|                   |CAMINHAO TOCO ENVASADO VW 15190 ANO 2014          |01.06.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7234ER433866 |1179340   |1179|Nossa Senhora do Socorro|102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000048516|0       |    133.760,83 |BRL  | 133.760,83-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000444|1   |Plataformas Elevatórias Envasado- 2019            |700000005199                              |              0000000000|                   |CAMINHAO TOCO ENVASADO VW 15190 ANO 2014          |02.03.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1179340   |1179|Nossa Senhora do Socorro|102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000036636|0       |     22.745,20 |BRL  |   4.418,45-|BRL  |    18.326,75 |BRL  |
|1001|2200  |220000000447|0   |CAMINHAO TOCO ENVASADO VW 15190 ANO 2014          |001-132191-190087-0                       |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |01.06.2014|    1,000 |UN |UN |               0,000 |UN |AAAAAAA          |9533E7238ER432851 |1179340   |1179|Nossa Senhora do Socorro|102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000048518|0       |    133.760,83 |BRL  | 133.760,83-|BRL  |         0,00 |BRL  |
|1001|2200  |220000000447|1   |Plataformas Elevatórias Envasado- 2019            |700000005273                              |              0000000000|                   |Plataformas Elevatórias Envasado- 2019            |29.02.2020|    1,000 |UN |UN |               0,000 |UN |NÃO APLICAVEL    |                  |1179340   |1179|Nossa Senhora do Socorro|102    |CAMINHAO CARGA               |                     |            |00.00.0000|600000037069|0       |     22.745,20 |BRL  |   4.609,83-|BRL  |    18.135,37 |BRL  |
